"age"	"marital"	"education"	"default"	"balance"	"housing"	"loan"	"day"	"duration"	"campaign"	"y"
19	"single"	"secondary"	"no"	329	"no"	"no"	22	252	2	"yes"
29	"single"	"tertiary"	"no"	1311	"no"	"no"	28	622	1	"yes"
34	"married"	"tertiary"	"no"	676	"no"	"no"	11	486	1	"yes"
33	"married"	"tertiary"	"no"	0	"yes"	"no"	17	378	1	"yes"
31	"married"	"secondary"	"no"	6	"no"	"no"	4	121	4	"yes"
45	"divorced"	"tertiary"	"no"	1	"no"	"no"	6	490	2	"yes"
26	"single"	"tertiary"	"no"	390	"no"	"no"	7	325	1	"yes"
25	"single"	"secondary"	"no"	505	"no"	"no"	15	284	1	"yes"
31	"single"	"tertiary"	"no"	1858	"no"	"no"	12	453	3	"yes"
26	"single"	"secondary"	"no"	766	"no"	"no"	15	457	2	"yes"
35	"single"	"tertiary"	"no"	992	"no"	"yes"	1	238	1	"yes"
57	"married"	"secondary"	"no"	168	"no"	"no"	7	342	1	"yes"
39	"married"	"secondary"	"no"	732	"no"	"no"	23	522	4	"yes"
35	"single"	"tertiary"	"no"	471	"no"	"no"	5	276	2	"yes"
44	"divorced"	"secondary"	"no"	8	"no"	"no"	26	423	4	"yes"
38	"married"	"tertiary"	"no"	0	"yes"	"no"	30	571	1	"yes"
67	"divorced"	"tertiary"	"no"	361	"no"	"no"	13	411	2	"yes"
44	"married"	"tertiary"	"no"	1933	"no"	"no"	5	462	1	"yes"
25	"single"	"secondary"	"no"	8	"no"	"no"	22	107	2	"yes"
38	"divorced"	"secondary"	"no"	257	"yes"	"no"	30	435	1	"yes"
37	"single"	"secondary"	"no"	-22	"yes"	"no"	15	317	1	"yes"
34	"single"	"primary"	"no"	79	"no"	"no"	10	336	4	"yes"
29	"single"	"secondary"	"no"	32	"yes"	"no"	4	563	1	"yes"
59	"married"	"primary"	"no"	0	"no"	"no"	5	493	2	"yes"
29	"single"	"tertiary"	"no"	572	"no"	"no"	4	224	1	"yes"
44	"divorced"	"tertiary"	"no"	558	"yes"	"no"	31	262	2	"yes"
29	"married"	"secondary"	"no"	95	"no"	"yes"	3	172	3	"yes"
61	"married"	"tertiary"	"no"	175	"no"	"no"	5	270	2	"yes"
29	"divorced"	"tertiary"	"yes"	0	"no"	"yes"	9	426	3	"yes"
35	"married"	"unknown"	"no"	2326	"yes"	"yes"	16	319	1	"yes"
33	"married"	"secondary"	"no"	336	"no"	"no"	15	179	3	"yes"
64	"married"	"tertiary"	"no"	380	"no"	"no"	25	479	1	"yes"
66	"married"	"tertiary"	"no"	147	"no"	"no"	12	411	1	"yes"
43	"married"	"tertiary"	"no"	1258	"no"	"no"	20	312	1	"yes"
63	"married"	"secondary"	"no"	0	"yes"	"no"	31	253	5	"yes"
22	"single"	"secondary"	"no"	1796	"no"	"no"	28	369	3	"yes"
28	"married"	"secondary"	"no"	742	"no"	"no"	26	236	1	"yes"
35	"married"	"secondary"	"no"	2	"yes"	"no"	18	194	1	"yes"
49	"married"	"tertiary"	"no"	2881	"no"	"no"	2	120	3	"yes"
37	"married"	"secondary"	"no"	1967	"no"	"no"	27	376	1	"yes"
29	"single"	"secondary"	"no"	78	"no"	"no"	30	239	1	"yes"
31	"married"	"secondary"	"no"	307	"yes"	"no"	9	538	1	"yes"
28	"single"	"tertiary"	"no"	1825	"no"	"no"	9	236	1	"yes"
24	"single"	"secondary"	"no"	1295	"no"	"no"	21	476	1	"yes"
62	"married"	"secondary"	"no"	780	"no"	"no"	28	162	2	"yes"
30	"single"	"tertiary"	"no"	364	"no"	"no"	30	306	2	"yes"
21	"single"	"unknown"	"no"	1506	"no"	"no"	14	340	1	"yes"
21	"single"	"secondary"	"no"	2265	"no"	"no"	17	92	2	"yes"
69	"married"	"unknown"	"no"	426	"no"	"no"	9	395	1	"yes"
56	"single"	"secondary"	"no"	2815	"yes"	"no"	11	212	1	"yes"
21	"single"	"secondary"	"no"	2488	"no"	"no"	12	180	1	"yes"
51	"divorced"	"tertiary"	"no"	2109	"no"	"no"	13	79	2	"yes"
33	"divorced"	"tertiary"	"no"	2240	"no"	"no"	3	198	1	"yes"
37	"married"	"tertiary"	"no"	189	"no"	"no"	2	253	2	"yes"
62	"married"	"unknown"	"no"	2021	"no"	"no"	26	361	1	"yes"
29	"single"	"secondary"	"no"	266	"yes"	"no"	6	540	1	"yes"
46	"married"	"secondary"	"no"	2149	"yes"	"no"	15	282	2	"yes"
54	"divorced"	"secondary"	"no"	309	"no"	"no"	20	241	1	"yes"
50	"married"	"secondary"	"no"	388	"no"	"no"	11	203	2	"yes"
44	"married"	"tertiary"	"no"	1058	"no"	"no"	11	188	3	"yes"
28	"single"	"tertiary"	"no"	1287	"yes"	"no"	26	65	1	"yes"
33	"married"	"secondary"	"no"	557	"no"	"no"	4	367	1	"yes"
30	"single"	"tertiary"	"no"	424	"no"	"no"	16	298	4	"yes"
52	"married"	"primary"	"no"	306	"no"	"no"	28	223	1	"yes"
35	"married"	"secondary"	"no"	2201	"no"	"no"	12	350	1	"yes"
54	"single"	"tertiary"	"no"	384	"no"	"yes"	27	200	1	"yes"
31	"married"	"tertiary"	"no"	3	"yes"	"yes"	11	331	1	"yes"
43	"divorced"	"secondary"	"no"	1854	"no"	"no"	30	323	1	"yes"
44	"married"	"tertiary"	"no"	2383	"no"	"no"	1	571	2	"yes"
53	"married"	"primary"	"no"	343	"yes"	"no"	25	616	5	"yes"
28	"single"	"secondary"	"no"	69	"no"	"no"	30	532	2	"yes"
40	"married"	"secondary"	"no"	754	"no"	"yes"	6	635	1	"yes"
19	"single"	"secondary"	"no"	302	"no"	"no"	16	205	1	"yes"
32	"single"	"secondary"	"no"	1995	"yes"	"no"	20	121	1	"yes"
27	"single"	"secondary"	"no"	843	"no"	"no"	8	187	1	"yes"
47	"single"	"primary"	"no"	2785	"yes"	"no"	13	570	1	"yes"
58	"married"	"secondary"	"no"	496	"no"	"no"	22	132	1	"yes"
33	"married"	"secondary"	"no"	855	"no"	"no"	15	110	1	"yes"
37	"divorced"	"secondary"	"no"	1533	"yes"	"no"	21	555	4	"yes"
44	"married"	"secondary"	"no"	267	"no"	"no"	22	520	2	"yes"
58	"married"	"unknown"	"no"	68	"no"	"no"	2	268	1	"yes"
33	"married"	"secondary"	"no"	1211	"no"	"no"	7	456	1	"yes"
32	"married"	"secondary"	"no"	759	"yes"	"no"	9	317	5	"yes"
27	"single"	"tertiary"	"no"	138	"no"	"no"	15	89	2	"yes"
24	"single"	"tertiary"	"no"	1	"no"	"no"	14	396	5	"yes"
46	"divorced"	"secondary"	"no"	-90	"no"	"yes"	17	270	1	"yes"
37	"married"	"secondary"	"no"	775	"no"	"no"	14	150	2	"yes"
42	"married"	"tertiary"	"no"	294	"no"	"no"	26	513	1	"yes"
46	"married"	"primary"	"no"	977	"no"	"yes"	2	436	3	"yes"
38	"married"	"primary"	"no"	196	"no"	"no"	30	574	1	"yes"
20	"single"	"secondary"	"no"	502	"no"	"no"	30	261	1	"yes"
35	"married"	"secondary"	"no"	52	"yes"	"no"	2	378	4	"yes"
63	"married"	"tertiary"	"no"	-39	"no"	"no"	1	387	2	"yes"
43	"married"	"tertiary"	"no"	1059	"no"	"yes"	1	335	2	"yes"
40	"married"	"tertiary"	"no"	1855	"no"	"no"	8	78	6	"yes"
30	"single"	"secondary"	"no"	915	"yes"	"no"	27	370	1	"yes"
32	"single"	"tertiary"	"no"	819	"yes"	"no"	20	114	2	"yes"
29	"single"	"secondary"	"no"	316	"yes"	"no"	3	156	1	"yes"
60	"single"	"tertiary"	"no"	1034	"yes"	"no"	7	231	3	"yes"
25	"single"	"secondary"	"no"	82	"no"	"yes"	7	104	2	"yes"
31	"single"	"tertiary"	"no"	924	"no"	"no"	27	172	1	"yes"
39	"married"	"secondary"	"no"	462	"yes"	"no"	13	590	1	"yes"
31	"married"	"tertiary"	"no"	168	"no"	"no"	4	193	2	"yes"
29	"single"	"secondary"	"no"	2	"yes"	"yes"	21	379	5	"yes"
60	"married"	"secondary"	"no"	938	"no"	"no"	13	380	3	"yes"
30	"single"	"tertiary"	"no"	432	"yes"	"no"	2	402	1	"yes"
45	"married"	"tertiary"	"no"	242	"no"	"no"	30	587	1	"yes"
27	"single"	"secondary"	"no"	339	"no"	"no"	4	182	1	"yes"
29	"single"	"tertiary"	"no"	3041	"yes"	"no"	8	606	3	"yes"
29	"single"	"tertiary"	"no"	1669	"no"	"no"	3	297	1	"yes"
36	"married"	"tertiary"	"no"	341	"no"	"no"	13	282	1	"yes"
30	"single"	"tertiary"	"no"	232	"no"	"no"	15	141	1	"yes"
34	"married"	"tertiary"	"no"	0	"no"	"no"	28	155	2	"yes"
60	"married"	"secondary"	"no"	1740	"no"	"no"	13	296	2	"yes"
29	"married"	"secondary"	"no"	714	"yes"	"yes"	13	482	2	"yes"
59	"married"	"secondary"	"no"	493	"no"	"no"	30	237	1	"yes"
23	"single"	"secondary"	"no"	1809	"no"	"no"	8	414	2	"yes"
34	"married"	"tertiary"	"no"	611	"no"	"no"	2	350	1	"yes"
61	"married"	"primary"	"no"	197	"no"	"no"	17	113	1	"yes"
37	"single"	"tertiary"	"no"	1188	"no"	"no"	24	310	1	"yes"
37	"married"	"secondary"	"no"	466	"yes"	"yes"	25	377	1	"yes"
46	"married"	"secondary"	"no"	926	"no"	"no"	7	385	5	"yes"
25	"single"	"tertiary"	"no"	343	"no"	"no"	1	377	1	"yes"
40	"married"	"tertiary"	"no"	0	"yes"	"no"	25	506	2	"yes"
43	"divorced"	"secondary"	"no"	1040	"yes"	"no"	19	552	3	"yes"
61	"divorced"	"secondary"	"no"	927	"no"	"no"	30	427	3	"yes"
54	"divorced"	"secondary"	"no"	200	"no"	"no"	3	170	1	"yes"
25	"married"	"tertiary"	"no"	2551	"no"	"no"	28	400	3	"yes"
55	"married"	"unknown"	"no"	1504	"yes"	"no"	22	338	2	"yes"
26	"single"	"tertiary"	"no"	1134	"no"	"no"	21	464	4	"yes"
53	"divorced"	"primary"	"no"	-291	"yes"	"yes"	7	591	1	"yes"
68	"married"	"primary"	"no"	451	"no"	"no"	5	373	1	"yes"
37	"single"	"tertiary"	"no"	0	"yes"	"no"	23	366	6	"yes"
22	"single"	"tertiary"	"no"	104	"no"	"yes"	16	330	3	"yes"
28	"single"	"tertiary"	"no"	890	"yes"	"no"	7	201	1	"yes"
19	"single"	"secondary"	"no"	329	"no"	"no"	22	252	2	"yes"
29	"single"	"tertiary"	"no"	1311	"no"	"no"	28	622	1	"yes"
34	"married"	"tertiary"	"no"	676	"no"	"no"	11	486	1	"yes"
33	"married"	"tertiary"	"no"	0	"yes"	"no"	17	378	1	"yes"
31	"married"	"secondary"	"no"	6	"no"	"no"	4	121	4	"yes"
45	"divorced"	"tertiary"	"no"	1	"no"	"no"	6	490	2	"yes"
26	"single"	"tertiary"	"no"	390	"no"	"no"	7	325	1	"yes"
25	"single"	"secondary"	"no"	505	"no"	"no"	15	284	1	"yes"
31	"single"	"tertiary"	"no"	1858	"no"	"no"	12	453	3	"yes"
26	"single"	"secondary"	"no"	766	"no"	"no"	15	457	2	"yes"
35	"single"	"tertiary"	"no"	992	"no"	"yes"	1	238	1	"yes"
57	"married"	"secondary"	"no"	168	"no"	"no"	7	342	1	"yes"
39	"married"	"secondary"	"no"	732	"no"	"no"	23	522	4	"yes"
35	"single"	"tertiary"	"no"	471	"no"	"no"	5	276	2	"yes"
44	"divorced"	"secondary"	"no"	8	"no"	"no"	26	423	4	"yes"
38	"married"	"tertiary"	"no"	0	"yes"	"no"	30	571	1	"yes"
67	"divorced"	"tertiary"	"no"	361	"no"	"no"	13	411	2	"yes"
44	"married"	"tertiary"	"no"	1933	"no"	"no"	5	462	1	"yes"
25	"single"	"secondary"	"no"	8	"no"	"no"	22	107	2	"yes"
38	"divorced"	"secondary"	"no"	257	"yes"	"no"	30	435	1	"yes"
37	"single"	"secondary"	"no"	-22	"yes"	"no"	15	317	1	"yes"
34	"single"	"primary"	"no"	79	"no"	"no"	10	336	4	"yes"
29	"single"	"secondary"	"no"	32	"yes"	"no"	4	563	1	"yes"
59	"married"	"primary"	"no"	0	"no"	"no"	5	493	2	"yes"
29	"single"	"tertiary"	"no"	572	"no"	"no"	4	224	1	"yes"
44	"divorced"	"tertiary"	"no"	558	"yes"	"no"	31	262	2	"yes"
29	"married"	"secondary"	"no"	95	"no"	"yes"	3	172	3	"yes"
61	"married"	"tertiary"	"no"	175	"no"	"no"	5	270	2	"yes"
29	"divorced"	"tertiary"	"yes"	0	"no"	"yes"	9	426	3	"yes"
35	"married"	"unknown"	"no"	2326	"yes"	"yes"	16	319	1	"yes"
33	"married"	"secondary"	"no"	336	"no"	"no"	15	179	3	"yes"
64	"married"	"tertiary"	"no"	380	"no"	"no"	25	479	1	"yes"
66	"married"	"tertiary"	"no"	147	"no"	"no"	12	411	1	"yes"
43	"married"	"tertiary"	"no"	1258	"no"	"no"	20	312	1	"yes"
63	"married"	"secondary"	"no"	0	"yes"	"no"	31	253	5	"yes"
22	"single"	"secondary"	"no"	1796	"no"	"no"	28	369	3	"yes"
28	"married"	"secondary"	"no"	742	"no"	"no"	26	236	1	"yes"
35	"married"	"secondary"	"no"	2	"yes"	"no"	18	194	1	"yes"
49	"married"	"tertiary"	"no"	2881	"no"	"no"	2	120	3	"yes"
37	"married"	"secondary"	"no"	1967	"no"	"no"	27	376	1	"yes"
29	"single"	"secondary"	"no"	78	"no"	"no"	30	239	1	"yes"
31	"married"	"secondary"	"no"	307	"yes"	"no"	9	538	1	"yes"
28	"single"	"tertiary"	"no"	1825	"no"	"no"	9	236	1	"yes"
24	"single"	"secondary"	"no"	1295	"no"	"no"	21	476	1	"yes"
62	"married"	"secondary"	"no"	780	"no"	"no"	28	162	2	"yes"
30	"single"	"tertiary"	"no"	364	"no"	"no"	30	306	2	"yes"
21	"single"	"unknown"	"no"	1506	"no"	"no"	14	340	1	"yes"
21	"single"	"secondary"	"no"	2265	"no"	"no"	17	92	2	"yes"
69	"married"	"unknown"	"no"	426	"no"	"no"	9	395	1	"yes"
56	"single"	"secondary"	"no"	2815	"yes"	"no"	11	212	1	"yes"
21	"single"	"secondary"	"no"	2488	"no"	"no"	12	180	1	"yes"
51	"divorced"	"tertiary"	"no"	2109	"no"	"no"	13	79	2	"yes"
33	"divorced"	"tertiary"	"no"	2240	"no"	"no"	3	198	1	"yes"
37	"married"	"tertiary"	"no"	189	"no"	"no"	2	253	2	"yes"
62	"married"	"unknown"	"no"	2021	"no"	"no"	26	361	1	"yes"
29	"single"	"secondary"	"no"	266	"yes"	"no"	6	540	1	"yes"
46	"married"	"secondary"	"no"	2149	"yes"	"no"	15	282	2	"yes"
54	"divorced"	"secondary"	"no"	309	"no"	"no"	20	241	1	"yes"
50	"married"	"secondary"	"no"	388	"no"	"no"	11	203	2	"yes"
44	"married"	"tertiary"	"no"	1058	"no"	"no"	11	188	3	"yes"
28	"single"	"tertiary"	"no"	1287	"yes"	"no"	26	65	1	"yes"
33	"married"	"secondary"	"no"	557	"no"	"no"	4	367	1	"yes"
30	"single"	"tertiary"	"no"	424	"no"	"no"	16	298	4	"yes"
52	"married"	"primary"	"no"	306	"no"	"no"	28	223	1	"yes"
35	"married"	"secondary"	"no"	2201	"no"	"no"	12	350	1	"yes"
54	"single"	"tertiary"	"no"	384	"no"	"yes"	27	200	1	"yes"
31	"married"	"tertiary"	"no"	3	"yes"	"yes"	11	331	1	"yes"
43	"divorced"	"secondary"	"no"	1854	"no"	"no"	30	323	1	"yes"
44	"married"	"tertiary"	"no"	2383	"no"	"no"	1	571	2	"yes"
53	"married"	"primary"	"no"	343	"yes"	"no"	25	616	5	"yes"
28	"single"	"secondary"	"no"	69	"no"	"no"	30	532	2	"yes"
40	"married"	"secondary"	"no"	754	"no"	"yes"	6	635	1	"yes"
19	"single"	"secondary"	"no"	302	"no"	"no"	16	205	1	"yes"
32	"single"	"secondary"	"no"	1995	"yes"	"no"	20	121	1	"yes"
27	"single"	"secondary"	"no"	843	"no"	"no"	8	187	1	"yes"
47	"single"	"primary"	"no"	2785	"yes"	"no"	13	570	1	"yes"
58	"married"	"secondary"	"no"	496	"no"	"no"	22	132	1	"yes"
33	"married"	"secondary"	"no"	855	"no"	"no"	15	110	1	"yes"
37	"divorced"	"secondary"	"no"	1533	"yes"	"no"	21	555	4	"yes"
44	"married"	"secondary"	"no"	267	"no"	"no"	22	520	2	"yes"
58	"married"	"unknown"	"no"	68	"no"	"no"	2	268	1	"yes"
33	"married"	"secondary"	"no"	1211	"no"	"no"	7	456	1	"yes"
32	"married"	"secondary"	"no"	759	"yes"	"no"	9	317	5	"yes"
27	"single"	"tertiary"	"no"	138	"no"	"no"	15	89	2	"yes"
24	"single"	"tertiary"	"no"	1	"no"	"no"	14	396	5	"yes"
46	"divorced"	"secondary"	"no"	-90	"no"	"yes"	17	270	1	"yes"
37	"married"	"secondary"	"no"	775	"no"	"no"	14	150	2	"yes"
42	"married"	"tertiary"	"no"	294	"no"	"no"	26	513	1	"yes"
46	"married"	"primary"	"no"	977	"no"	"yes"	2	436	3	"yes"
38	"married"	"primary"	"no"	196	"no"	"no"	30	574	1	"yes"
20	"single"	"secondary"	"no"	502	"no"	"no"	30	261	1	"yes"
35	"married"	"secondary"	"no"	52	"yes"	"no"	2	378	4	"yes"
63	"married"	"tertiary"	"no"	-39	"no"	"no"	1	387	2	"yes"
43	"married"	"tertiary"	"no"	1059	"no"	"yes"	1	335	2	"yes"
40	"married"	"tertiary"	"no"	1855	"no"	"no"	8	78	6	"yes"
30	"single"	"secondary"	"no"	915	"yes"	"no"	27	370	1	"yes"
32	"single"	"tertiary"	"no"	819	"yes"	"no"	20	114	2	"yes"
29	"single"	"secondary"	"no"	316	"yes"	"no"	3	156	1	"yes"
60	"single"	"tertiary"	"no"	1034	"yes"	"no"	7	231	3	"yes"
25	"single"	"secondary"	"no"	82	"no"	"yes"	7	104	2	"yes"
31	"single"	"tertiary"	"no"	924	"no"	"no"	27	172	1	"yes"
39	"married"	"secondary"	"no"	462	"yes"	"no"	13	590	1	"yes"
31	"married"	"tertiary"	"no"	168	"no"	"no"	4	193	2	"yes"
29	"single"	"secondary"	"no"	2	"yes"	"yes"	21	379	5	"yes"
60	"married"	"secondary"	"no"	938	"no"	"no"	13	380	3	"yes"
30	"single"	"tertiary"	"no"	432	"yes"	"no"	2	402	1	"yes"
45	"married"	"tertiary"	"no"	242	"no"	"no"	30	587	1	"yes"
27	"single"	"secondary"	"no"	339	"no"	"no"	4	182	1	"yes"
29	"single"	"tertiary"	"no"	3041	"yes"	"no"	8	606	3	"yes"
29	"single"	"tertiary"	"no"	1669	"no"	"no"	3	297	1	"yes"
36	"married"	"tertiary"	"no"	341	"no"	"no"	13	282	1	"yes"
30	"single"	"tertiary"	"no"	232	"no"	"no"	15	141	1	"yes"
34	"married"	"tertiary"	"no"	0	"no"	"no"	28	155	2	"yes"
60	"married"	"secondary"	"no"	1740	"no"	"no"	13	296	2	"yes"
29	"married"	"secondary"	"no"	714	"yes"	"yes"	13	482	2	"yes"
59	"married"	"secondary"	"no"	493	"no"	"no"	30	237	1	"yes"
23	"single"	"secondary"	"no"	1809	"no"	"no"	8	414	2	"yes"
34	"married"	"tertiary"	"no"	611	"no"	"no"	2	350	1	"yes"
61	"married"	"primary"	"no"	197	"no"	"no"	17	113	1	"yes"
37	"single"	"tertiary"	"no"	1188	"no"	"no"	24	310	1	"yes"
37	"married"	"secondary"	"no"	466	"yes"	"yes"	25	377	1	"yes"
46	"married"	"secondary"	"no"	926	"no"	"no"	7	385	5	"yes"
25	"single"	"tertiary"	"no"	343	"no"	"no"	1	377	1	"yes"
40	"married"	"tertiary"	"no"	0	"yes"	"no"	25	506	2	"yes"
43	"divorced"	"secondary"	"no"	1040	"yes"	"no"	19	552	3	"yes"
61	"divorced"	"secondary"	"no"	927	"no"	"no"	30	427	3	"yes"
54	"divorced"	"secondary"	"no"	200	"no"	"no"	3	170	1	"yes"
25	"married"	"tertiary"	"no"	2551	"no"	"no"	28	400	3	"yes"
55	"married"	"unknown"	"no"	1504	"yes"	"no"	22	338	2	"yes"
26	"single"	"tertiary"	"no"	1134	"no"	"no"	21	464	4	"yes"
53	"divorced"	"primary"	"no"	-291	"yes"	"yes"	7	591	1	"yes"
68	"married"	"primary"	"no"	451	"no"	"no"	5	373	1	"yes"
37	"single"	"tertiary"	"no"	0	"yes"	"no"	23	366	6	"yes"
22	"single"	"tertiary"	"no"	104	"no"	"yes"	16	330	3	"yes"
28	"single"	"tertiary"	"no"	890	"yes"	"no"	7	201	1	"yes"
19	"single"	"secondary"	"no"	329	"no"	"no"	22	252	2	"yes"
29	"single"	"tertiary"	"no"	1311	"no"	"no"	28	622	1	"yes"
34	"married"	"tertiary"	"no"	676	"no"	"no"	11	486	1	"yes"
33	"married"	"tertiary"	"no"	0	"yes"	"no"	17	378	1	"yes"
31	"married"	"secondary"	"no"	6	"no"	"no"	4	121	4	"yes"
45	"divorced"	"tertiary"	"no"	1	"no"	"no"	6	490	2	"yes"
26	"single"	"tertiary"	"no"	390	"no"	"no"	7	325	1	"yes"
25	"single"	"secondary"	"no"	505	"no"	"no"	15	284	1	"yes"
31	"single"	"tertiary"	"no"	1858	"no"	"no"	12	453	3	"yes"
26	"single"	"secondary"	"no"	766	"no"	"no"	15	457	2	"yes"
35	"single"	"tertiary"	"no"	992	"no"	"yes"	1	238	1	"yes"
57	"married"	"secondary"	"no"	168	"no"	"no"	7	342	1	"yes"
39	"married"	"secondary"	"no"	732	"no"	"no"	23	522	4	"yes"
35	"single"	"tertiary"	"no"	471	"no"	"no"	5	276	2	"yes"
44	"divorced"	"secondary"	"no"	8	"no"	"no"	26	423	4	"yes"
38	"married"	"tertiary"	"no"	0	"yes"	"no"	30	571	1	"yes"
67	"divorced"	"tertiary"	"no"	361	"no"	"no"	13	411	2	"yes"
44	"married"	"tertiary"	"no"	1933	"no"	"no"	5	462	1	"yes"
25	"single"	"secondary"	"no"	8	"no"	"no"	22	107	2	"yes"
38	"divorced"	"secondary"	"no"	257	"yes"	"no"	30	435	1	"yes"
37	"single"	"secondary"	"no"	-22	"yes"	"no"	15	317	1	"yes"
34	"single"	"primary"	"no"	79	"no"	"no"	10	336	4	"yes"
29	"single"	"secondary"	"no"	32	"yes"	"no"	4	563	1	"yes"
59	"married"	"primary"	"no"	0	"no"	"no"	5	493	2	"yes"
29	"single"	"tertiary"	"no"	572	"no"	"no"	4	224	1	"yes"
44	"divorced"	"tertiary"	"no"	558	"yes"	"no"	31	262	2	"yes"
29	"married"	"secondary"	"no"	95	"no"	"yes"	3	172	3	"yes"
61	"married"	"tertiary"	"no"	175	"no"	"no"	5	270	2	"yes"
29	"divorced"	"tertiary"	"yes"	0	"no"	"yes"	9	426	3	"yes"
35	"married"	"unknown"	"no"	2326	"yes"	"yes"	16	319	1	"yes"
33	"married"	"secondary"	"no"	336	"no"	"no"	15	179	3	"yes"
64	"married"	"tertiary"	"no"	380	"no"	"no"	25	479	1	"yes"
66	"married"	"tertiary"	"no"	147	"no"	"no"	12	411	1	"yes"
43	"married"	"tertiary"	"no"	1258	"no"	"no"	20	312	1	"yes"
63	"married"	"secondary"	"no"	0	"yes"	"no"	31	253	5	"yes"
22	"single"	"secondary"	"no"	1796	"no"	"no"	28	369	3	"yes"
28	"married"	"secondary"	"no"	742	"no"	"no"	26	236	1	"yes"
35	"married"	"secondary"	"no"	2	"yes"	"no"	18	194	1	"yes"
49	"married"	"tertiary"	"no"	2881	"no"	"no"	2	120	3	"yes"
37	"married"	"secondary"	"no"	1967	"no"	"no"	27	376	1	"yes"
29	"single"	"secondary"	"no"	78	"no"	"no"	30	239	1	"yes"
