"age"	"workclass"	"fntwgt"	"education"	"educationNum"	"maritalStatus"	"occupation"	"relationship"	"race"	"sex"	"capitalGain"	"capitalLoss"	"hoursPerWeek"	"nativeCountry"	"salary"	"salres"
26	"Private"	279833	"Bachelors"	13	"Never-married"	"Exec-managerial"	"Not-in-family"	"White"	"Male"	0	2258	45	"United-States"	">50K"	1
37	"Private"	167415	"HS-grad"	9	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	0	0	50	"United-States"	"<=50K"	0
23	"Private"	50341	"Masters"	14	"Never-married"	"Sales"	"Not-in-family"	"White"	"Female"	0	0	20	"United-States"	"<=50K"	0
35	"Private"	210945	"HS-grad"	9	"Married-civ-spouse"	"Handlers-cleaners"	"Husband"	"White"	"Male"	0	0	50	"United-States"	"<=50K"	0
50	"Private"	410186	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
20	"Private"	147171	"Some-college"	10	"Never-married"	"Adm-clerical"	"Unmarried"	"Asian-Pac-Islander"	"Female"	0	0	40	"Vietnam"	"<=50K"	0
47	"Private"	30457	"Assoc-voc"	11	"Married-civ-spouse"	"Other-service"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
38	"Federal-gov"	325538	"Prof-school"	15	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	0	0	50	"United-States"	">50K"	1
42	"Local-gov"	121012	"Some-college"	10	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	0	0	45	"United-States"	">50K"	1
35	"Private"	222989	"HS-grad"	9	"Married-civ-spouse"	"Transport-moving"	"Husband"	"White"	"Male"	0	0	30	"United-States"	"<=50K"	0
55	"Private"	148773	"10th"	6	"Married-civ-spouse"	"Machine-op-inspct"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
51	"Private"	57101	"9th"	5	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
38	"Private"	309122	"10th"	6	"Divorced"	"Machine-op-inspct"	"Not-in-family"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
41	"Private"	233955	"Masters"	14	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"Asian-Pac-Islander"	"Male"	0	0	45	"China"	">50K"	1
22	"Private"	285775	"Assoc-voc"	11	"Never-married"	"Craft-repair"	"Own-child"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
20	"Private"	416103	"Some-college"	10	"Never-married"	"Handlers-cleaners"	"Own-child"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
53	"Private"	103950	"Masters"	14	"Divorced"	"Prof-specialty"	"Not-in-family"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
28	"Private"	249362	"11th"	7	"Married-civ-spouse"	"Transport-moving"	"Husband"	"White"	"Male"	0	0	50	"United-States"	"<=50K"	0
62	"Private"	159908	"Some-college"	10	"Married-civ-spouse"	"Adm-clerical"	"Wife"	"White"	"Female"	0	0	38	"United-States"	">50K"	1
27	"Self-emp-not-inc"	41099	"HS-grad"	9	"Never-married"	"Craft-repair"	"Not-in-family"	"White"	"Male"	0	0	30	"United-States"	"<=50K"	0
60	"Private"	33266	"HS-grad"	9	"Married-civ-spouse"	"Protective-serv"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
30	"Private"	369027	"HS-grad"	9	"Married-civ-spouse"	"Transport-moving"	"Husband"	"Black"	"Male"	0	0	45	"United-States"	"<=50K"	0
48	"Private"	155372	"HS-grad"	9	"Widowed"	"Machine-op-inspct"	"Unmarried"	"White"	"Female"	0	0	36	"United-States"	"<=50K"	0
18	"Private"	215110	"HS-grad"	9	"Never-married"	"Handlers-cleaners"	"Own-child"	"Black"	"Male"	0	0	40	"United-States"	"<=50K"	0
43	"Self-emp-not-inc"	113211	"HS-grad"	9	"Married-civ-spouse"	"Exec-managerial"	"Wife"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
22	"Local-gov"	399020	"Some-college"	10	"Never-married"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	0	0	55	"United-States"	"<=50K"	0
33	"Private"	220939	"HS-grad"	9	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	7298	0	45	"United-States"	">50K"	1
65	"Self-emp-not-inc"	78875	"Some-college"	10	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	2290	0	40	"United-States"	"<=50K"	0
33	"Self-emp-not-inc"	281030	"HS-grad"	9	"Married-civ-spouse"	"Farming-fishing"	"Husband"	"White"	"Male"	0	0	94	"United-States"	"<=50K"	0
41	"Private"	37869	"HS-grad"	9	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	0	1902	40	"United-States"	">50K"	1
19	"Private"	41745	"Some-college"	10	"Never-married"	"Exec-managerial"	"Own-child"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
53	"Private"	158352	"5th-6th"	3	"Married-civ-spouse"	"Other-service"	"Other-relative"	"White"	"Female"	0	0	24	"Italy"	"<=50K"	0
45	"Private"	232586	"Some-college"	10	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	50	"United-States"	">50K"	1
22	"Private"	281432	"Some-college"	10	"Never-married"	"Handlers-cleaners"	"Own-child"	"White"	"Male"	0	0	30	"United-States"	"<=50K"	0
46	"Private"	94809	"Some-college"	10	"Divorced"	"Priv-house-serv"	"Unmarried"	"White"	"Female"	0	0	30	"United-States"	"<=50K"	0
48	"Private"	118889	"HS-grad"	9	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	2885	0	15	"United-States"	"<=50K"	0
41	"Local-gov"	107327	"Assoc-voc"	11	"Divorced"	"Prof-specialty"	"Unmarried"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
27	"Private"	262478	"HS-grad"	9	"Never-married"	"Farming-fishing"	"Own-child"	"Black"	"Male"	0	0	30	"United-States"	"<=50K"	0
29	"Private"	270379	"HS-grad"	9	"Never-married"	"Exec-managerial"	"Unmarried"	"Black"	"Female"	0	0	40	"United-States"	"<=50K"	0
57	"Self-emp-inc"	220789	"HS-grad"	9	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	0	0	45	"United-States"	">50K"	1
43	"Private"	183891	"HS-grad"	9	"Divorced"	"Exec-managerial"	"Unmarried"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
24	"Private"	96279	"HS-grad"	9	"Never-married"	"Machine-op-inspct"	"Own-child"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
40	"State-gov"	456110	"11th"	7	"Divorced"	"Transport-moving"	"Unmarried"	"White"	"Female"	0	0	52	"United-States"	"<=50K"	0
46	"Private"	202560	"HS-grad"	9	"Married-civ-spouse"	"Exec-managerial"	"Wife"	"White"	"Female"	0	0	40	"United-States"	">50K"	1
51	"Private"	169364	"Some-college"	10	"Divorced"	"Handlers-cleaners"	"Not-in-family"	"White"	"Female"	0	0	40	"Ireland"	"<=50K"	0
51	"Private"	94081	"HS-grad"	9	"Never-married"	"Craft-repair"	"Not-in-family"	"White"	"Male"	0	0	40	"United-States"	">50K"	1
19	"Private"	128346	"HS-grad"	9	"Never-married"	"Machine-op-inspct"	"Own-child"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
49	"Self-emp-inc"	143482	"Some-college"	10	"Married-civ-spouse"	"Prof-specialty"	"Wife"	"White"	"Female"	0	0	65	"United-States"	">50K"	1
47	"Private"	155659	"Some-college"	10	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	7688	0	55	"United-States"	">50K"	1
32	"Private"	130057	"Bachelors"	13	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	0	0	45	"United-States"	">50K"	1
27	"Private"	176514	"Bachelors"	13	"Never-married"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
23	"Private"	245147	"Some-college"	10	"Never-married"	"Handlers-cleaners"	"Own-child"	"Black"	"Male"	0	0	40	"United-States"	"<=50K"	0
26	"Private"	58098	"Some-college"	10	"Never-married"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	0	1974	40	"United-States"	"<=50K"	0
33	"Private"	184306	"Bachelors"	13	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	0	0	45	"United-States"	"<=50K"	0
30	"Private"	118056	"Some-college"	10	"Married-spouse-absent"	"Exec-managerial"	"Unmarried"	"White"	"Female"	0	0	45	"United-States"	"<=50K"	0
24	"State-gov"	165201	"Some-college"	10	"Married-civ-spouse"	"Adm-clerical"	"Wife"	"White"	"Female"	0	0	45	"United-States"	"<=50K"	0
44	"Private"	147206	"Some-college"	10	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
23	"Private"	152328	"Some-college"	10	"Never-married"	"Exec-managerial"	"Own-child"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
45	"Private"	362883	"Some-college"	10	"Married-civ-spouse"	"Transport-moving"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
31	"Private"	196125	"HS-grad"	9	"Married-civ-spouse"	"Handlers-cleaners"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
28	"Private"	25955	"Assoc-voc"	11	"Divorced"	"Craft-repair"	"Not-in-family"	"Amer-Indian-Eskimo"	"Male"	0	0	40	"United-States"	"<=50K"	0
29	"Private"	152951	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	40	"United-States"	">50K"	1
33	"Local-gov"	147921	"HS-grad"	9	"Widowed"	"Other-service"	"Unmarried"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
31	"Private"	106753	"Assoc-voc"	11	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	1740	40	"United-States"	"<=50K"	0
33	"Private"	296453	"Masters"	14	"Married-civ-spouse"	"Tech-support"	"Husband"	"White"	"Male"	0	0	15	"United-States"	"<=50K"	0
25	"Private"	28473	"Assoc-voc"	11	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
60	"Private"	199378	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
57	"Private"	236944	"HS-grad"	9	"Married-civ-spouse"	"Machine-op-inspct"	"Husband"	"Black"	"Male"	0	0	40	"United-States"	">50K"	1
39	"Private"	278187	"HS-grad"	9	"Married-civ-spouse"	"Machine-op-inspct"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
35	"Private"	54159	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	38	"United-States"	"<=50K"	0
32	"Private"	100135	"Bachelors"	13	"Separated"	"Prof-specialty"	"Unmarried"	"White"	"Female"	0	0	32	"United-States"	"<=50K"	0
42	"Private"	153160	"HS-grad"	9	"Widowed"	"Other-service"	"Unmarried"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
52	"Private"	114062	"HS-grad"	9	"Divorced"	"Craft-repair"	"Unmarried"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
36	"Self-emp-inc"	107218	"Some-college"	10	"Divorced"	"Sales"	"Unmarried"	"Asian-Pac-Islander"	"Male"	0	0	55	"United-States"	"<=50K"	0
43	"Private"	132393	"HS-grad"	9	"Never-married"	"Handlers-cleaners"	"Own-child"	"White"	"Male"	0	0	40	"Poland"	"<=50K"	0
47	"Private"	166181	"Some-college"	10	"Married-civ-spouse"	"Adm-clerical"	"Wife"	"Black"	"Female"	0	0	48	"United-States"	">50K"	1
59	"Private"	43221	"Some-college"	10	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	43	"United-States"	">50K"	1
23	"Private"	215395	"HS-grad"	9	"Never-married"	"Machine-op-inspct"	"Not-in-family"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
27	"Private"	175262	"Bachelors"	13	"Never-married"	"Exec-managerial"	"Own-child"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
64	"Private"	231619	"HS-grad"	9	"Married-civ-spouse"	"Sales"	"Wife"	"White"	"Female"	0	0	21	"United-States"	"<=50K"	0
23	"Private"	216811	"HS-grad"	9	"Never-married"	"Machine-op-inspct"	"Own-child"	"White"	"Female"	0	0	16	"United-States"	"<=50K"	0
61	"Self-emp-inc"	171831	"HS-grad"	9	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	2829	0	45	"United-States"	"<=50K"	0
27	"Local-gov"	125442	"Some-college"	10	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	0	0	50	"United-States"	"<=50K"	0
41	"Private"	288568	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	40	"United-States"	">50K"	1
32	"Private"	34437	"HS-grad"	9	"Never-married"	"Transport-moving"	"Own-child"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
24	"Private"	163053	"Bachelors"	13	"Never-married"	"Sales"	"Not-in-family"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
57	"Private"	191983	"Some-college"	10	"Married-civ-spouse"	"Protective-serv"	"Husband"	"White"	"Male"	0	0	50	"United-States"	"<=50K"	0
53	"Private"	313243	"Some-college"	10	"Separated"	"Craft-repair"	"Not-in-family"	"White"	"Male"	0	2444	45	"United-States"	">50K"	1
41	"Private"	170331	"Bachelors"	13	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	0	0	60	"United-States"	"<=50K"	0
42	"Self-emp-not-inc"	99185	"Some-college"	10	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	0	0	40	"United-States"	">50K"	1
54	"Private"	425804	"Some-college"	10	"Never-married"	"Exec-managerial"	"Not-in-family"	"White"	"Female"	0	0	45	"United-States"	">50K"	1
31	"Private"	316672	"HS-grad"	9	"Never-married"	"Other-service"	"Unmarried"	"White"	"Female"	0	0	40	"Mexico"	"<=50K"	0
45	"Private"	25649	"Some-college"	10	"Married-civ-spouse"	"Transport-moving"	"Husband"	"White"	"Male"	7298	0	50	"United-States"	">50K"	1
19	"Private"	251579	"Some-college"	10	"Never-married"	"Other-service"	"Own-child"	"White"	"Male"	0	0	14	"United-States"	"<=50K"	0
19	"Private"	278915	"12th"	8	"Never-married"	"Handlers-cleaners"	"Own-child"	"Black"	"Female"	0	0	52	"United-States"	"<=50K"	0
23	"Private"	179423	"Bachelors"	13	"Never-married"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	0	0	5	"United-States"	"<=50K"	0
21	"Private"	187643	"HS-grad"	9	"Separated"	"Other-service"	"Not-in-family"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
39	"Private"	150125	"Assoc-acdm"	12	"Divorced"	"Other-service"	"Unmarried"	"Black"	"Female"	0	0	40	"United-States"	"<=50K"	0
21	"Private"	126613	"Some-college"	10	"Never-married"	"Other-service"	"Own-child"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
24	"Private"	190290	"Assoc-voc"	11	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	45	"United-States"	"<=50K"	0
33	"Private"	154120	"HS-grad"	9	"Divorced"	"Handlers-cleaners"	"Own-child"	"White"	"Male"	0	0	45	"United-States"	"<=50K"	0
43	"Private"	216697	"Some-college"	10	"Married-civ-spouse"	"Protective-serv"	"Husband"	"Other"	"Male"	0	0	32	"United-States"	"<=50K"	0
46	"Self-emp-inc"	326048	"Some-college"	10	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	0	0	40	"United-States"	">50K"	1
33	"Self-emp-not-inc"	134886	"Bachelors"	13	"Married-civ-spouse"	"Prof-specialty"	"Wife"	"White"	"Female"	0	0	50	"United-States"	">50K"	1
61	"Private"	195595	"7th-8th"	4	"Married-spouse-absent"	"Machine-op-inspct"	"Not-in-family"	"White"	"Male"	0	0	40	"Guatemala"	"<=50K"	0
34	"Private"	849857	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	40	"Nicaragua"	"<=50K"	0
20	"State-gov"	349365	"HS-grad"	9	"Never-married"	"Other-service"	"Not-in-family"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
18	"Private"	115839	"12th"	8	"Never-married"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	0	0	30	"United-States"	"<=50K"	0
43	"Self-emp-not-inc"	355856	"Bachelors"	13	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"Asian-Pac-Islander"	"Male"	0	0	50	"Philippines"	"<=50K"	0
44	"Private"	175641	"11th"	7	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	0	0	40	"United-States"	">50K"	1
57	"Self-emp-not-inc"	65080	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	50	"United-States"	">50K"	1
26	"Private"	68895	"HS-grad"	9	"Never-married"	"Adm-clerical"	"Not-in-family"	"White"	"Male"	0	0	50	"Mexico"	"<=50K"	0
59	"Private"	453067	"Some-college"	10	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	0	0	36	"United-States"	">50K"	1
53	"Private"	260106	"HS-grad"	9	"Widowed"	"Sales"	"Not-in-family"	"White"	"Female"	0	0	30	"United-States"	"<=50K"	0
42	"Self-emp-not-inc"	444134	"HS-grad"	9	"Married-civ-spouse"	"Farming-fishing"	"Husband"	"White"	"Male"	0	0	15	"United-States"	"<=50K"	0
51	"Private"	99316	"12th"	8	"Divorced"	"Transport-moving"	"Unmarried"	"White"	"Male"	0	0	50	"United-States"	"<=50K"	0
24	"Private"	284317	"Bachelors"	13	"Never-married"	"Other-service"	"Own-child"	"White"	"Female"	0	0	30	"United-States"	"<=50K"	0
41	"Private"	74775	"Bachelors"	13	"Married-civ-spouse"	"Other-service"	"Husband"	"Asian-Pac-Islander"	"Male"	0	0	30	"Vietnam"	"<=50K"	0
41	"Private"	84610	"Bachelors"	13	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	0	1902	60	"United-States"	">50K"	1
32	"Private"	143604	"10th"	6	"Married-spouse-absent"	"Other-service"	"Not-in-family"	"Black"	"Female"	0	0	37	"United-States"	"<=50K"	0
59	"Private"	53481	"Some-college"	10	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	0	0	50	"United-States"	"<=50K"	0
40	"Private"	307767	"HS-grad"	9	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	0	0	60	"United-States"	"<=50K"	0
31	"Private"	39054	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	20	"United-States"	"<=50K"	0
46	"Local-gov"	124071	"Masters"	14	"Divorced"	"Exec-managerial"	"Unmarried"	"White"	"Female"	0	0	65	"United-States"	">50K"	1
19	"Private"	198668	"HS-grad"	9	"Never-married"	"Handlers-cleaners"	"Own-child"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
31	"Private"	467579	"Bachelors"	13	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"Black"	"Male"	0	1887	40	"United-States"	">50K"	1
22	"Private"	445758	"5th-6th"	3	"Never-married"	"Handlers-cleaners"	"Not-in-family"	"White"	"Male"	0	0	40	"Mexico"	"<=50K"	0
28	"Private"	116372	"Bachelors"	13	"Never-married"	"Exec-managerial"	"Not-in-family"	"White"	"Female"	0	0	60	"United-States"	"<=50K"	0
48	"Private"	102092	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
56	"Local-gov"	170217	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
52	"Private"	49243	"HS-grad"	9	"Married-civ-spouse"	"Machine-op-inspct"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
28	"Local-gov"	213195	"Assoc-acdm"	12	"Married-civ-spouse"	"Adm-clerical"	"Wife"	"White"	"Female"	0	0	40	"United-States"	">50K"	1
44	"Private"	177083	"HS-grad"	9	"Divorced"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
45	"Private"	362883	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	5013	0	40	"United-States"	"<=50K"	0
