"age"	"job"	"marital"	"education"	"default"	"balance"	"housing"	"loan"	"contact"	"day"	"month"	"duration"	"campaign"	"pdays"	"previous"	"poutcome"	"y"
51	"management"	"single"	"tertiary"	"no"	3087	"yes"	"no"	"unknown"	29	"may"	86	4	-1	0	"unknown"	"no"
52	"blue-collar"	"married"	"primary"	"no"	117	"no"	"yes"	"cellular"	24	"jul"	164	2	-1	0	"unknown"	"no"
49	"blue-collar"	"divorced"	"primary"	"no"	2262	"yes"	"no"	"unknown"	21	"may"	125	3	-1	0	"unknown"	"no"
47	"housemaid"	"married"	"primary"	"no"	32	"no"	"no"	"cellular"	5	"aug"	231	2	-1	0	"unknown"	"no"
33	"services"	"divorced"	"secondary"	"no"	90	"yes"	"no"	"cellular"	18	"may"	114	2	-1	0	"unknown"	"no"
49	"unemployed"	"married"	"secondary"	"no"	769	"yes"	"no"	"unknown"	14	"may"	257	1	-1	0	"unknown"	"no"
53	"self-employed"	"married"	"tertiary"	"no"	290	"no"	"yes"	"cellular"	24	"jul"	303	3	-1	0	"unknown"	"no"
36	"self-employed"	"single"	"tertiary"	"no"	134	"no"	"yes"	"unknown"	1	"jun"	36	1	-1	0	"unknown"	"no"
58	"retired"	"married"	"tertiary"	"no"	2199	"no"	"no"	"telephone"	21	"oct"	65	1	-1	0	"unknown"	"no"
41	"management"	"married"	"tertiary"	"no"	1204	"yes"	"yes"	"cellular"	13	"may"	310	2	-1	0	"unknown"	"no"
47	"technician"	"divorced"	"tertiary"	"no"	8	"no"	"no"	"cellular"	29	"aug"	62	2	-1	0	"unknown"	"no"
32	"technician"	"single"	"secondary"	"no"	0	"yes"	"no"	"unknown"	5	"may"	136	1	-1	0	"unknown"	"no"
55	"unemployed"	"divorced"	"secondary"	"no"	283	"yes"	"yes"	"unknown"	14	"may"	220	2	-1	0	"unknown"	"no"
34	"blue-collar"	"married"	"primary"	"no"	333	"yes"	"yes"	"cellular"	11	"may"	63	1	-1	0	"unknown"	"no"
40	"technician"	"married"	"secondary"	"no"	88	"no"	"no"	"cellular"	28	"aug"	214	3	-1	0	"unknown"	"no"
25	"unemployed"	"single"	"tertiary"	"no"	343	"no"	"no"	"cellular"	1	"jun"	377	1	-1	0	"unknown"	"yes"
52	"blue-collar"	"married"	"primary"	"no"	10	"no"	"no"	"cellular"	6	"aug"	588	3	-1	0	"unknown"	"no"
56	"management"	"married"	"primary"	"no"	31	"yes"	"no"	"cellular"	12	"may"	215	2	-1	0	"unknown"	"no"
43	"blue-collar"	"married"	"primary"	"no"	108	"yes"	"yes"	"unknown"	15	"may"	420	4	-1	0	"unknown"	"no"
50	"admin."	"divorced"	"secondary"	"no"	-194	"yes"	"no"	"cellular"	13	"apr"	238	2	-1	0	"unknown"	"no"
54	"retired"	"married"	"primary"	"no"	1379	"no"	"no"	"unknown"	11	"jun"	136	1	-1	0	"unknown"	"no"
51	"blue-collar"	"married"	"secondary"	"no"	1022	"yes"	"no"	"cellular"	8	"may"	311	3	-1	0	"unknown"	"no"
34	"services"	"single"	"secondary"	"no"	1239	"yes"	"no"	"unknown"	23	"may"	164	1	-1	0	"unknown"	"no"
34	"technician"	"married"	"tertiary"	"no"	482	"no"	"no"	"cellular"	5	"aug"	56	2	-1	0	"unknown"	"no"
21	"student"	"single"	"secondary"	"no"	2488	"no"	"no"	"cellular"	12	"oct"	180	1	-1	0	"unknown"	"yes"
37	"blue-collar"	"married"	"primary"	"no"	1021	"no"	"no"	"unknown"	9	"jun"	173	1	-1	0	"unknown"	"no"
36	"technician"	"single"	"secondary"	"no"	159	"yes"	"no"	"cellular"	22	"aug"	251	4	-1	0	"unknown"	"no"
38	"services"	"married"	"secondary"	"no"	282	"no"	"no"	"cellular"	15	"jan"	360	3	-1	0	"unknown"	"no"
39	"technician"	"married"	"secondary"	"no"	1	"yes"	"no"	"unknown"	26	"may"	506	2	-1	0	"unknown"	"no"
52	"management"	"married"	"tertiary"	"no"	2063	"yes"	"no"	"cellular"	17	"nov"	114	1	-1	0	"unknown"	"no"
28	"management"	"single"	"tertiary"	"no"	1287	"yes"	"no"	"cellular"	26	"feb"	65	1	-1	0	"unknown"	"yes"
55	"technician"	"married"	"secondary"	"no"	0	"no"	"no"	"cellular"	27	"jul"	506	2	-1	0	"unknown"	"no"
35	"management"	"single"	"secondary"	"no"	2383	"yes"	"no"	"cellular"	31	"jul"	67	6	-1	0	"unknown"	"no"
48	"technician"	"married"	"secondary"	"no"	0	"no"	"no"	"cellular"	28	"jan"	142	1	-1	0	"unknown"	"no"
53	"technician"	"divorced"	"secondary"	"no"	751	"yes"	"no"	"unknown"	16	"may"	343	4	-1	0	"unknown"	"no"
53	"management"	"married"	"unknown"	"no"	876	"yes"	"no"	"telephone"	14	"jul"	214	3	-1	0	"unknown"	"no"
26	"unemployed"	"single"	"secondary"	"no"	387	"no"	"no"	"cellular"	6	"feb"	506	1	-1	0	"unknown"	"no"
57	"housemaid"	"married"	"primary"	"no"	473	"no"	"no"	"unknown"	9	"jun"	87	1	-1	0	"unknown"	"no"
30	"blue-collar"	"married"	"secondary"	"no"	-6	"yes"	"no"	"cellular"	17	"apr"	461	1	-1	0	"unknown"	"no"
57	"blue-collar"	"married"	"primary"	"no"	452	"yes"	"no"	"unknown"	13	"may"	139	4	-1	0	"unknown"	"no"
29	"management"	"married"	"tertiary"	"no"	2417	"yes"	"no"	"cellular"	7	"may"	126	2	-1	0	"unknown"	"no"
49	"blue-collar"	"married"	"primary"	"no"	397	"no"	"no"	"cellular"	22	"aug"	263	1	-1	0	"unknown"	"no"
45	"technician"	"married"	"tertiary"	"no"	-302	"no"	"yes"	"unknown"	1	"jul"	80	1	-1	0	"unknown"	"no"
36	"services"	"married"	"tertiary"	"no"	301	"no"	"no"	"cellular"	28	"jan"	333	1	-1	0	"unknown"	"no"
47	"admin."	"married"	"secondary"	"no"	310	"yes"	"yes"	"telephone"	14	"aug"	128	6	-1	0	"unknown"	"no"
49	"blue-collar"	"married"	"primary"	"no"	-347	"yes"	"yes"	"unknown"	4	"jun"	213	3	-1	0	"unknown"	"no"
30	"admin."	"married"	"secondary"	"no"	2678	"yes"	"no"	"cellular"	18	"may"	23	5	-1	0	"unknown"	"no"
30	"technician"	"married"	"secondary"	"no"	817	"yes"	"no"	"cellular"	22	"aug"	180	4	-1	0	"unknown"	"no"
45	"unemployed"	"divorced"	"secondary"	"no"	-44	"yes"	"no"	"cellular"	7	"jul"	256	2	-1	0	"unknown"	"no"
37	"blue-collar"	"married"	"unknown"	"no"	0	"yes"	"no"	"cellular"	9	"jul"	90	1	-1	0	"unknown"	"no"
51	"entrepreneur"	"married"	"tertiary"	"no"	3188	"yes"	"yes"	"cellular"	19	"nov"	339	3	-1	0	"unknown"	"no"
53	"unknown"	"married"	"unknown"	"no"	13	"no"	"no"	"telephone"	28	"jan"	69	1	-1	0	"unknown"	"no"
36	"management"	"married"	"tertiary"	"no"	771	"yes"	"no"	"unknown"	28	"may"	357	1	-1	0	"unknown"	"no"
38	"blue-collar"	"single"	"secondary"	"no"	1911	"yes"	"no"	"cellular"	31	"jul"	74	4	-1	0	"unknown"	"no"
33	"unemployed"	"married"	"tertiary"	"no"	271	"yes"	"yes"	"cellular"	28	"jul"	262	4	-1	0	"unknown"	"no"
30	"technician"	"single"	"secondary"	"no"	853	"no"	"no"	"cellular"	3	"jun"	343	1	-1	0	"unknown"	"no"
34	"blue-collar"	"married"	"primary"	"no"	161	"yes"	"yes"	"unknown"	20	"may"	177	1	-1	0	"unknown"	"no"
41	"admin."	"single"	"secondary"	"yes"	0	"no"	"yes"	"cellular"	21	"nov"	305	6	-1	0	"unknown"	"no"
38	"entrepreneur"	"married"	"secondary"	"no"	2849	"yes"	"no"	"unknown"	28	"may"	166	3	-1	0	"unknown"	"no"
29	"management"	"married"	"tertiary"	"no"	1258	"yes"	"no"	"cellular"	29	"jan"	287	1	-1	0	"unknown"	"no"
34	"technician"	"divorced"	"secondary"	"no"	27	"yes"	"no"	"unknown"	26	"may"	133	3	-1	0	"unknown"	"no"
23	"blue-collar"	"single"	"secondary"	"no"	27	"yes"	"no"	"unknown"	2	"jun"	280	2	-1	0	"unknown"	"no"
57	"management"	"married"	"tertiary"	"no"	0	"no"	"no"	"cellular"	19	"aug"	188	4	-1	0	"unknown"	"no"
31	"admin."	"single"	"secondary"	"no"	17	"yes"	"no"	"unknown"	2	"jun"	52	3	-1	0	"unknown"	"no"
41	"management"	"single"	"tertiary"	"no"	336	"yes"	"no"	"cellular"	22	"jul"	162	3	-1	0	"unknown"	"no"
43	"services"	"married"	"secondary"	"no"	0	"no"	"no"	"unknown"	26	"may"	483	1	-1	0	"unknown"	"no"
29	"management"	"single"	"secondary"	"no"	293	"yes"	"no"	"unknown"	28	"may"	188	2	-1	0	"unknown"	"no"
56	"management"	"divorced"	"tertiary"	"no"	66	"no"	"yes"	"cellular"	30	"jul"	72	4	-1	0	"unknown"	"no"
50	"admin."	"married"	"secondary"	"yes"	-437	"yes"	"yes"	"unknown"	17	"jun"	83	1	-1	0	"unknown"	"no"
33	"technician"	"married"	"secondary"	"no"	557	"no"	"no"	"cellular"	4	"may"	367	1	-1	0	"unknown"	"yes"
33	"management"	"married"	"tertiary"	"no"	2750	"no"	"no"	"cellular"	5	"feb"	242	1	-1	0	"unknown"	"no"
30	"admin."	"single"	"secondary"	"no"	915	"yes"	"no"	"unknown"	27	"apr"	370	1	-1	0	"unknown"	"yes"
28	"housemaid"	"single"	"primary"	"no"	332	"no"	"no"	"cellular"	7	"jul"	385	1	-1	0	"unknown"	"no"
33	"services"	"married"	"secondary"	"no"	804	"yes"	"yes"	"unknown"	8	"may"	266	1	-1	0	"unknown"	"no"
33	"technician"	"married"	"secondary"	"no"	2284	"yes"	"yes"	"cellular"	7	"jul"	210	2	-1	0	"unknown"	"no"
34	"admin."	"divorced"	"secondary"	"no"	531	"no"	"no"	"cellular"	4	"feb"	279	1	-1	0	"unknown"	"no"
32	"management"	"single"	"tertiary"	"no"	509	"no"	"yes"	"cellular"	19	"nov"	208	2	-1	0	"unknown"	"no"
40	"self-employed"	"married"	"tertiary"	"no"	1603	"no"	"no"	"unknown"	17	"jun"	279	1	-1	0	"unknown"	"no"
36	"unemployed"	"single"	"secondary"	"no"	605	"no"	"no"	"cellular"	30	"jan"	410	2	-1	0	"unknown"	"no"
44	"admin."	"single"	"secondary"	"no"	946	"yes"	"no"	"unknown"	30	"may"	181	4	-1	0	"unknown"	"no"
43	"blue-collar"	"married"	"secondary"	"no"	-210	"yes"	"no"	"cellular"	17	"nov"	523	2	-1	0	"unknown"	"no"
48	"management"	"married"	"tertiary"	"no"	2218	"yes"	"no"	"unknown"	13	"may"	43	2	-1	0	"unknown"	"no"
52	"admin."	"married"	"secondary"	"no"	192	"no"	"yes"	"unknown"	26	"jun"	93	1	-1	0	"unknown"	"no"
32	"management"	"divorced"	"tertiary"	"no"	787	"yes"	"no"	"cellular"	11	"aug"	72	2	-1	0	"unknown"	"no"
46	"blue-collar"	"married"	"primary"	"no"	938	"yes"	"no"	"unknown"	2	"jun"	92	2	-1	0	"unknown"	"no"
32	"technician"	"married"	"secondary"	"no"	163	"yes"	"yes"	"cellular"	28	"jul"	73	3	-1	0	"unknown"	"no"
29	"admin."	"single"	"secondary"	"no"	719	"no"	"no"	"cellular"	30	"apr"	76	1	-1	0	"unknown"	"no"
48	"blue-collar"	"married"	"secondary"	"no"	729	"yes"	"no"	"telephone"	15	"jul"	277	1	-1	0	"unknown"	"no"
33	"admin."	"single"	"secondary"	"no"	206	"no"	"no"	"telephone"	13	"nov"	168	1	-1	0	"unknown"	"no"
47	"management"	"married"	"secondary"	"no"	623	"yes"	"no"	"cellular"	13	"may"	102	6	-1	0	"unknown"	"no"
49	"blue-collar"	"married"	"primary"	"no"	287	"yes"	"no"	"unknown"	29	"may"	155	2	-1	0	"unknown"	"no"
47	"blue-collar"	"married"	"unknown"	"no"	2458	"no"	"no"	"cellular"	24	"jul"	172	3	-1	0	"unknown"	"no"
30	"management"	"single"	"secondary"	"no"	460	"yes"	"no"	"cellular"	18	"nov"	86	1	-1	0	"unknown"	"no"
29	"admin."	"married"	"secondary"	"no"	-526	"yes"	"no"	"unknown"	28	"may"	314	2	-1	0	"unknown"	"no"
34	"management"	"married"	"tertiary"	"no"	0	"no"	"no"	"cellular"	2	"feb"	327	1	-1	0	"unknown"	"no"
33	"technician"	"divorced"	"secondary"	"no"	140	"yes"	"no"	"unknown"	5	"may"	227	1	-1	0	"unknown"	"no"
32	"housemaid"	"married"	"tertiary"	"no"	357	"yes"	"no"	"cellular"	18	"nov"	175	2	-1	0	"unknown"	"no"
36	"admin."	"married"	"secondary"	"no"	542	"yes"	"no"	"unknown"	18	"jun"	604	6	-1	0	"unknown"	"no"
28	"unemployed"	"single"	"secondary"	"no"	434	"yes"	"no"	"cellular"	30	"apr"	257	1	-1	0	"unknown"	"no"
32	"technician"	"married"	"secondary"	"no"	0	"no"	"no"	"cellular"	21	"aug"	120	3	-1	0	"unknown"	"no"
27	"admin."	"single"	"secondary"	"no"	-181	"yes"	"yes"	"unknown"	29	"may"	81	4	-1	0	"unknown"	"no"
33	"management"	"single"	"secondary"	"no"	15	"no"	"no"	"cellular"	22	"aug"	199	1	-1	0	"unknown"	"no"
22	"blue-collar"	"single"	"secondary"	"no"	-189	"yes"	"no"	"unknown"	30	"may"	59	3	-1	0	"unknown"	"no"
45	"admin."	"married"	"secondary"	"no"	985	"yes"	"no"	"unknown"	13	"may"	390	1	-1	0	"unknown"	"no"
35	"blue-collar"	"married"	"secondary"	"no"	1312	"yes"	"no"	"cellular"	18	"may"	224	1	-1	0	"unknown"	"no"
49	"management"	"married"	"tertiary"	"no"	176	"yes"	"yes"	"cellular"	14	"jul"	102	2	-1	0	"unknown"	"no"
58	"unknown"	"married"	"primary"	"no"	15	"no"	"no"	"cellular"	11	"aug"	57	2	-1	0	"unknown"	"no"
48	"admin."	"divorced"	"secondary"	"no"	0	"no"	"yes"	"cellular"	11	"jul"	487	3	-1	0	"unknown"	"no"
26	"technician"	"single"	"secondary"	"no"	0	"no"	"no"	"cellular"	8	"jul"	362	2	-1	0	"unknown"	"no"
53	"self-employed"	"married"	"tertiary"	"no"	1907	"yes"	"no"	"unknown"	2	"jun"	72	3	-1	0	"unknown"	"no"
47	"services"	"married"	"secondary"	"no"	1123	"no"	"yes"	"cellular"	21	"jul"	251	5	-1	0	"unknown"	"no"
59	"technician"	"married"	"secondary"	"no"	1139	"no"	"no"	"cellular"	14	"jul"	607	2	-1	0	"unknown"	"no"
33	"technician"	"single"	"secondary"	"no"	-96	"no"	"no"	"cellular"	29	"jan"	213	4	-1	0	"unknown"	"no"
51	"retired"	"married"	"secondary"	"no"	226	"yes"	"yes"	"unknown"	8	"may"	418	1	-1	0	"unknown"	"no"
34	"management"	"married"	"tertiary"	"no"	0	"no"	"yes"	"cellular"	14	"jul"	105	3	-1	0	"unknown"	"no"
42	"blue-collar"	"married"	"secondary"	"no"	1468	"yes"	"no"	"unknown"	28	"may"	136	1	-1	0	"unknown"	"no"
36	"management"	"married"	"secondary"	"no"	2637	"no"	"no"	"unknown"	4	"jul"	219	1	-1	0	"unknown"	"no"
33	"technician"	"single"	"tertiary"	"no"	443	"no"	"no"	"cellular"	11	"aug"	240	5	-1	0	"unknown"	"no"
35	"unemployed"	"single"	"secondary"	"no"	2116	"yes"	"no"	"cellular"	13	"may"	409	2	-1	0	"unknown"	"no"
59	"retired"	"married"	"unknown"	"no"	178	"yes"	"no"	"telephone"	11	"jul"	330	2	-1	0	"unknown"	"no"
50	"admin."	"married"	"secondary"	"no"	0	"no"	"no"	"cellular"	4	"aug"	86	4	-1	0	"unknown"	"no"
35	"self-employed"	"single"	"tertiary"	"no"	0	"yes"	"yes"	"cellular"	18	"may"	185	1	-1	0	"unknown"	"no"
33	"technician"	"single"	"secondary"	"no"	177	"yes"	"no"	"unknown"	23	"may"	293	1	-1	0	"unknown"	"no"
47	"blue-collar"	"married"	"primary"	"no"	206	"yes"	"yes"	"cellular"	7	"may"	118	1	-1	0	"unknown"	"no"
32	"services"	"single"	"secondary"	"no"	182	"yes"	"no"	"cellular"	6	"may"	145	1	-1	0	"unknown"	"no"
31	"technician"	"married"	"tertiary"	"no"	442	"no"	"no"	"cellular"	15	"oct"	244	1	-1	0	"unknown"	"no"
28	"student"	"single"	"secondary"	"no"	378	"yes"	"no"	"cellular"	17	"apr"	346	1	-1	0	"unknown"	"no"
27	"admin."	"married"	"secondary"	"no"	102	"yes"	"no"	"cellular"	29	"jan"	123	2	-1	0	"unknown"	"no"
46	"admin."	"divorced"	"secondary"	"no"	98	"yes"	"yes"	"cellular"	12	"may"	91	1	-1	0	"unknown"	"no"
56	"technician"	"married"	"tertiary"	"no"	1663	"no"	"no"	"unknown"	19	"jun"	22	1	-1	0	"unknown"	"no"
57	"technician"	"married"	"tertiary"	"no"	31	"no"	"yes"	"cellular"	26	"aug"	395	2	-1	0	"unknown"	"no"
