"ID"	"Reason.for.absence"	"Month.of.absence"	"Transportation.expense"	"Distance.from.Residence.to.Work"	"Service.time"	"Age"	"Work.load.Average.day"	"Disciplinary.failure"	"Education"	"Social.drinker"	"Weight"	"Height"	"Body.mass.index"
22	1	10	179	26	9	30	265.017	0	3	0	56	171	19
20	19	10	260	50	11	36	253.465	0	1	1	65	168	23
20	28	8	260	50	11	36	265.615	0	1	1	65	168	23
34	10	4	118	10	10	37	246.288	0	1	0	83	172	28
22	7	10	179	26	9	30	265.017	0	3	0	56	171	19
34	27	1	118	10	10	37	308.593	0	1	0	83	172	28
24	9	9	246	25	16	41	294.217	0	1	1	67	170	23
20	23	8	260	50	11	36	205.917	0	1	1	65	168	23
18	23	8	330	16	4	28	249.797	0	2	0	84	182	25
3	10	2	179	51	18	38	251.818	0	1	1	89	170	31
30	28	12	157	27	6	29	236.629	0	1	1	75	185	22
14	25	7	155	12	14	34	275.312	0	1	1	95	196	25
17	18	12	179	22	17	40	280.549	0	2	0	63	170	22
5	0	10	235	20	13	43	265.017	1	1	1	106	167	38
33	28	11	248	25	14	47	306.345	0	1	0	86	165	32
28	13	10	225	26	9	28	284.853	0	1	0	69	169	24
5	19	9	235	20	13	43	241.476	0	1	1	106	167	38
34	28	11	118	10	10	37	268.519	0	1	0	83	172	28
3	13	2	179	51	18	38	264.249	0	1	1	89	170	31
10	19	4	361	52	3	28	246.288	0	1	1	80	172	27
11	23	8	289	36	13	33	205.917	0	1	1	90	172	30
29	14	5	225	15	15	41	237.656	0	4	1	94	182	28
34	19	1	118	10	10	37	330.061	0	1	0	83	172	28
3	27	3	179	51	18	38	222.196	0	1	1	89	170	31
18	13	5	330	16	4	28	246.074	0	2	0	84	182	25
31	1	2	388	15	9	50	302.585	0	1	0	76	178	24
22	27	3	179	26	9	30	222.196	0	3	0	56	171	19
15	13	6	291	31	12	40	253.957	0	1	1	73	171	25
33	28	4	248	25	14	47	326.452	0	1	0	86	165	32
33	23	10	248	25	14	47	253.465	0	1	0	86	165	32
11	19	3	289	36	13	33	222.196	0	1	1	90	172	30
11	22	3	289	36	13	33	244.387	0	1	1	90	172	30
14	23	9	155	12	14	34	261.756	0	1	1	95	196	25
34	28	5	118	10	10	37	246.074	0	1	0	83	172	28
28	23	2	225	26	9	28	302.585	0	1	0	69	169	24
24	13	11	246	25	16	41	284.031	0	1	1	67	170	23
26	13	8	300	26	13	43	265.615	0	1	1	77	175	25
36	23	12	118	13	18	50	261.306	0	1	1	98	178	31
3	27	2	179	51	18	38	251.818	0	1	1	89	170	31
17	16	5	179	22	17	40	237.656	0	2	0	63	170	22
36	23	7	118	13	18	50	230.29	0	1	1	98	178	31
14	19	7	155	12	14	34	239.554	0	1	1	95	196	25
23	1	11	378	49	11	36	284.031	0	1	0	65	174	21
15	23	10	291	31	12	40	284.853	0	1	1	73	171	25
15	28	7	291	31	12	40	230.29	0	1	1	73	171	25
10	14	12	361	52	3	28	280.549	0	1	1	80	172	27
20	28	4	260	50	11	36	239.409	0	1	1	65	168	23
36	0	5	118	13	18	50	237.656	1	1	1	98	178	31
3	27	1	179	51	18	38	313.532	0	1	1	89	170	31
3	25	8	179	51	18	38	249.797	0	1	1	89	170	31
22	27	6	179	26	9	30	275.089	0	3	0	56	171	19
14	23	5	155	12	14	34	237.656	0	1	1	95	196	25
33	23	9	248	25	14	47	261.756	0	1	0	86	165	32
20	28	8	260	50	11	36	249.797	0	1	1	65	168	23
11	26	8	289	36	13	33	249.797	0	1	1	90	172	30
13	22	10	369	17	12	31	265.017	0	1	1	70	169	25
10	22	9	361	52	3	28	261.756	0	1	1	80	172	27
27	7	5	184	42	7	27	378.884	0	1	0	58	167	21
14	28	2	155	12	14	34	302.585	0	1	1	95	196	25
10	19	3	361	52	3	28	222.196	0	1	1	80	172	27
36	28	9	118	13	18	50	294.217	0	1	1	98	178	31
31	11	2	388	15	9	50	302.585	0	1	0	76	178	24
7	0	11	279	5	14	39	284.031	1	1	1	68	168	24
20	28	6	260	50	11	36	253.957	0	1	1	65	168	23
3	27	2	179	51	18	38	264.249	0	1	1	89	170	31
28	27	1	225	26	9	28	308.593	0	1	0	69	169	24
14	28	5	155	12	14	34	378.884	0	1	1	95	196	25
10	22	12	361	52	3	28	261.306	0	1	1	80	172	27
34	27	1	118	10	10	37	308.593	0	1	0	83	172	28
15	0	10	291	31	12	40	265.017	1	1	1	73	171	25
17	8	5	179	22	17	40	246.074	0	2	0	63	170	22
24	28	9	246	25	16	41	261.756	0	1	1	67	170	23
35	0	0	179	45	14	53	271.219	0	1	0	77	175	25
36	14	4	118	13	18	50	246.288	0	1	1	98	178	31
28	27	3	225	26	9	28	222.196	0	1	0	69	169	24
7	14	3	279	5	14	39	343.253	0	1	1	68	168	24
28	23	12	225	26	9	28	280.549	0	1	0	69	169	24
24	28	8	246	25	16	41	249.797	0	1	1	67	170	23
14	10	5	155	12	14	34	237.656	0	1	1	95	196	25
28	28	3	225	26	9	28	343.253	0	1	0	69	169	24
28	13	10	225	26	9	28	284.853	0	1	0	69	169	24
15	23	11	291	31	12	40	306.345	0	1	1	73	171	25
28	28	2	225	26	9	28	302.585	0	1	0	69	169	24
28	28	4	225	26	9	28	326.452	0	1	0	69	169	24
5	26	6	235	20	13	43	253.957	0	1	1	106	167	38
22	23	7	179	26	9	30	230.29	0	3	0	56	171	19
24	19	3	246	25	16	41	244.387	0	1	1	67	170	23
5	26	9	235	20	13	43	294.217	0	1	1	106	167	38
28	27	1	225	26	9	28	308.593	0	1	0	69	169	24
3	28	1	179	51	18	38	330.061	0	1	1	89	170	31
3	13	3	179	51	18	38	343.253	0	1	1	89	170	31
28	25	2	225	26	9	28	302.585	0	1	0	69	169	24
20	28	4	260	50	11	36	239.409	0	1	1	65	168	23
3	27	2	179	51	18	38	264.249	0	1	1	89	170	31
10	22	7	361	52	3	28	230.29	0	1	1	80	172	27
34	11	11	118	10	10	37	284.031	0	1	0	83	172	28
36	0	7	118	13	18	50	239.554	1	1	1	98	178	31
20	28	5	260	50	11	36	246.074	0	1	1	65	168	23
5	26	12	235	20	13	43	280.549	0	1	1	106	167	38
10	23	4	361	52	3	28	246.288	0	1	1	80	172	27
3	23	10	179	51	18	38	253.465	0	1	1	89	170	31
3	6	11	179	51	18	38	284.031	0	1	1	89	170	31
33	23	3	248	25	14	47	222.196	0	1	0	86	165	32
13	0	3	369	17	12	31	244.387	1	1	1	70	169	25
15	28	4	291	31	12	40	326.452	0	1	1	73	171	25
24	10	6	246	25	16	41	377.55	0	1	1	67	170	23
33	25	3	248	25	14	47	222.196	0	1	0	86	165	32
10	22	6	361	52	3	28	377.55	0	1	1	80	172	27
22	25	5	179	26	9	30	246.074	0	3	0	56	171	19
28	23	12	225	26	9	28	280.549	0	1	0	69	169	24
24	28	6	246	25	16	41	253.957	0	1	1	67	170	23
11	19	7	289	36	13	33	275.312	0	1	1	90	172	30
11	13	1	289	36	13	33	313.532	0	1	1	90	172	30
17	16	4	179	22	17	40	246.288	0	2	0	63	170	22
3	23	7	179	51	18	38	239.554	0	1	1	89	170	31
3	28	12	179	51	18	38	236.629	0	1	1	89	170	31
3	13	4	179	51	18	38	326.452	0	1	1	89	170	31
3	27	2	179	51	18	38	251.818	0	1	1	89	170	31
20	19	3	260	50	11	36	244.387	0	1	1	65	168	23
20	23	7	260	50	11	36	239.554	0	1	1	65	168	23
28	23	12	225	26	9	28	261.306	0	1	0	69	169	24
24	1	2	246	25	16	41	302.585	0	1	1	67	170	23
32	10	1	289	48	29	49	313.532	0	1	0	108	172	36
14	23	6	155	12	14	34	377.55	0	1	1	95	196	25
28	23	9	225	26	9	28	241.476	0	1	0	69	169	24
34	23	9	118	10	10	37	241.476	0	1	0	83	172	28
28	23	9	225	26	9	28	261.756	0	1	0	69	169	24
20	26	12	260	50	11	36	236.629	0	1	1	65	168	23
34	25	6	118	10	10	37	275.089	0	1	0	83	172	28
28	23	3	225	26	9	28	343.253	0	1	0	69	169	24
34	5	7	118	10	10	37	275.312	0	1	0	83	172	28
33	13	3	248	25	14	47	222.196	0	1	0	86	165	32
34	10	6	118	10	10	37	275.089	0	1	0	83	172	28
3	28	11	179	51	18	38	284.031	0	1	1	89	170	31
3	28	12	179	51	18	38	236.629	0	1	1	89	170	31
3	27	3	179	51	18	38	222.196	0	1	1	89	170	31
28	13	11	225	26	9	28	306.345	0	1	0	69	169	24
5	0	11	235	20	13	43	268.519	1	1	1	106	167	38
11	26	7	289	36	13	33	239.554	0	1	1	90	172	30
14	1	3	155	12	14	34	343.253	0	1	1	95	196	25
22	27	4	179	26	9	30	246.288	0	3	0	56	171	19
6	13	4	189	29	13	33	246.288	0	1	0	69	167	25
3	13	3	179	51	18	38	222.196	0	1	1	89	170	31
34	27	1	118	10	10	37	308.593	0	1	0	83	172	28
20	26	12	260	50	11	36	261.306	0	1	1	65	168	23
23	0	5	378	49	11	36	378.884	1	1	0	65	174	21
13	7	4	369	17	12	31	246.288	0	1	1	70	169	25
15	28	10	291	31	12	40	284.853	0	1	1	73	171	25
3	26	7	179	51	18	38	275.312	0	1	1	89	170	31
22	27	5	179	26	9	30	237.656	0	3	0	56	171	19
10	22	11	361	52	3	28	268.519	0	1	1	80	172	27
17	25	1	179	22	17	40	313.532	0	2	0	63	170	22
28	23	1	225	26	9	28	308.593	0	1	0	69	169	24
30	28	8	157	27	6	29	205.917	0	1	1	75	185	22
28	23	11	225	26	9	28	268.519	0	1	0	69	169	24
10	22	7	361	52	3	28	239.554	0	1	1	80	172	27
3	27	3	179	51	18	38	222.196	0	1	1	89	170	31
11	23	8	289	36	13	33	265.615	0	1	1	90	172	30
33	14	11	248	25	14	47	268.519	0	1	0	86	165	32
11	13	4	289	36	13	33	326.452	0	1	1	90	172	30
3	23	10	179	51	18	38	253.465	0	1	1	89	170	31
18	2	11	330	16	4	28	268.519	0	2	0	84	182	25
24	28	3	246	25	16	41	244.387	0	1	1	67	170	23
11	26	7	289	36	13	33	275.312	0	1	1	90	172	30
28	23	6	225	26	9	28	253.957	0	1	0	69	169	24
3	23	9	179	51	18	38	294.217	0	1	1	89	170	31
17	21	11	179	22	17	40	306.345	0	2	0	63	170	22
28	19	5	225	26	9	28	378.884	0	1	0	69	169	24
28	28	1	225	26	9	28	308.593	0	1	0	69	169	24
3	18	8	179	51	18	38	205.917	0	1	1	89	170	31
13	26	11	369	17	12	31	268.519	0	1	1	70	169	25
3	23	7	179	51	18	38	239.554	0	1	1	89	170	31
34	28	6	118	10	10	37	253.957	0	1	0	83	172	28
28	22	7	225	26	9	28	264.604	0	1	0	69	169	24
36	23	4	118	13	18	50	239.409	0	1	1	98	178	31
1	1	5	235	11	14	37	246.074	0	3	0	88	172	29
3	27	2	179	51	18	38	264.249	0	1	1	89	170	31
34	7	10	118	10	10	37	265.017	0	1	0	83	172	28
33	23	11	248	25	14	47	284.031	0	1	0	86	165	32
9	18	5	228	14	16	58	246.074	0	1	0	65	172	22
28	23	11	225	26	9	28	306.345	0	1	0	69	169	24
34	28	7	118	10	10	37	264.604	0	1	0	83	172	28
28	23	1	225	26	9	28	330.061	0	1	0	69	169	24
3	27	2	179	51	18	38	251.818	0	1	1	89	170	31
3	21	11	179	51	18	38	268.519	0	1	1	89	170	31
24	0	3	246	25	16	41	244.387	1	1	1	67	170	23
21	11	8	268	11	8	33	265.615	0	2	0	79	178	25
22	27	5	179	26	9	30	237.656	0	3	0	56	171	19
28	23	12	225	26	9	28	280.549	0	1	0	69	169	24
22	27	5	179	26	9	30	237.656	0	3	0	56	171	19
20	26	7	260	50	11	36	230.29	0	1	1	65	168	23
17	21	11	179	22	17	40	306.345	0	2	0	63	170	22
1	23	8	235	11	14	37	265.615	0	3	0	88	172	29
15	28	8	291	31	12	40	249.797	0	1	1	73	171	25
20	28	3	260	50	11	36	343.253	0	1	1	65	168	23
13	10	10	369	17	12	31	284.853	0	1	1	70	169	25
34	27	1	118	10	10	37	308.593	0	1	0	83	172	28
22	23	9	179	26	9	30	261.756	0	3	0	56	171	19
36	1	7	118	13	18	50	275.312	0	1	1	98	178	31
15	28	10	291	31	12	40	265.017	0	1	1	73	171	25
18	10	8	330	16	4	28	205.917	0	2	0	84	182	25
11	22	1	289	36	13	33	308.593	0	1	1	90	172	30
2	28	8	235	29	12	48	205.917	0	1	0	88	163	33
33	23	12	248	25	14	47	261.306	0	1	0	86	165	32
22	18	7	179	26	9	30	275.312	0	3	0	56	171	19
11	14	7	289	36	13	33	264.604	0	1	1	90	172	30
24	28	8	246	25	16	41	249.797	0	1	1	67	170	23
30	19	8	157	27	6	29	265.615	0	1	1	75	185	22
22	18	1	179	26	9	30	308.593	0	3	0	56	171	19
22	27	2	179	26	9	30	264.249	0	3	0	56	171	19
28	11	3	225	26	9	28	343.253	0	1	0	69	169	24
12	22	6	233	51	1	31	275.089	0	2	1	68	178	21
20	28	11	260	50	11	36	306.345	0	1	1	65	168	23
10	10	10	361	52	3	28	265.017	0	1	1	80	172	27
10	23	5	361	52	3	28	246.074	0	1	1	80	172	27
25	6	10	235	16	8	32	284.853	0	3	0	75	178	25
15	12	11	291	31	12	40	284.031	0	1	1	73	171	25
34	28	8	118	10	10	37	249.797	0	1	0	83	172	28
20	28	12	260	50	11	36	236.629	0	1	1	65	168	23
3	23	9	179	51	18	38	294.217	0	1	1	89	170	31
22	27	1	179	26	9	30	313.532	0	3	0	56	171	19
34	26	7	118	10	10	37	230.29	0	1	0	83	172	28
11	26	10	289	36	13	33	265.017	0	1	1	90	172	30
1	25	12	235	11	14	37	236.629	0	3	0	88	172	29
34	25	12	118	10	10	37	236.629	0	1	0	83	172	28
28	7	2	225	26	9	28	264.249	0	1	0	69	169	24
3	27	2	179	51	18	38	264.249	0	1	1	89	170	31
11	22	2	289	36	13	33	302.585	0	1	1	90	172	30
33	14	3	248	25	14	47	343.253	0	1	0	86	165	32
3	27	2	179	51	18	38	251.818	0	1	1	89	170	31
3	21	7	179	51	18	38	239.554	0	1	1	89	170	31
1	7	4	235	11	14	37	326.452	0	3	0	88	172	29
34	27	1	118	10	10	37	308.593	0	1	0	83	172	28
28	11	3	225	26	9	28	343.253	0	1	0	69	169	24
20	0	10	260	50	11	36	265.017	1	1	1	65	168	23
11	19	9	289	36	13	33	294.217	0	1	1	90	172	30
14	18	1	155	12	14	34	313.532	0	1	1	95	196	25
34	27	1	118	10	10	37	308.593	0	1	0	83	172	28
22	13	2	179	26	9	30	264.249	0	3	0	56	171	19
3	28	6	179	51	18	38	253.957	0	1	1	89	170	31
33	19	4	248	25	14	47	246.288	0	1	0	86	165	32
34	28	5	118	10	10	37	237.656	0	1	0	83	172	28
22	23	5	179	26	9	30	246.074	0	3	0	56	171	19
24	23	2	246	25	16	41	251.818	0	1	1	67	170	23
22	21	6	179	26	9	30	253.957	0	3	0	56	171	19
3	28	4	179	51	18	38	239.409	0	1	1	89	170	31
17	25	1	179	22	17	40	313.532	0	2	0	63	170	22
3	28	5	179	51	18	38	246.074	0	1	1	89	170	31
17	22	3	179	22	17	40	244.387	0	2	0	63	170	22
24	9	9	246	25	16	41	294.217	0	1	1	67	170	23
3	23	9	179	51	18	38	241.476	0	1	1	89	170	31
3	13	2	179	51	18	38	264.249	0	1	1	89	170	31
23	0	11	378	49	11	36	284.031	1	1	0	65	174	21
22	23	9	179	26	9	30	261.756	0	3	0	56	171	19
29	19	5	225	15	15	41	237.656	0	4	1	94	182	28
7	14	3	279	5	14	39	343.253	0	1	1	68	168	24
20	13	3	260	50	11	36	343.253	0	1	1	65	168	23
9	25	3	228	14	16	58	222.196	0	1	0	65	172	22
13	22	4	369	17	12	31	239.409	0	1	1	70	169	25
6	22	11	189	29	13	33	306.345	0	1	0	69	167	25
19	28	3	291	50	12	32	343.253	0	1	1	65	169	23
3	28	12	179	51	18	38	236.629	0	1	1	89	170	31
36	0	3	118	13	18	50	244.387	1	1	1	98	178	31
11	18	1	289	36	13	33	308.593	0	1	1	90	172	30
36	23	6	118	13	18	50	253.957	0	1	1	98	178	31
33	23	8	248	25	14	47	265.615	0	1	0	86	165	32
3	28	10	179	51	18	38	284.853	0	1	1	89	170	31
6	23	10	189	29	13	33	284.853	0	1	0	69	167	25
5	13	5	235	20	13	43	246.074	0	1	1	106	167	38
17	25	8	179	22	17	40	249.797	0	2	0	63	170	22
1	13	6	235	11	14	37	377.55	0	3	0	88	172	29
6	23	2	189	29	13	33	302.585	0	1	0	69	167	25
25	25	2	235	16	8	32	264.249	0	3	0	75	178	25
1	23	8	235	11	14	37	249.797	0	3	0	88	172	29
10	22	5	361	52	3	28	378.884	0	1	1	80	172	27
10	23	10	361	52	3	28	253.465	0	1	1	80	172	27
28	23	2	225	26	9	28	302.585	0	1	0	69	169	24
28	23	10	225	26	9	28	253.465	0	1	0	69	169	24
34	26	6	118	10	10	37	275.089	0	1	0	83	172	28
11	19	10	289	36	13	33	265.017	0	1	1	90	172	30
34	19	12	118	10	10	37	261.306	0	1	0	83	172	28
28	7	2	225	26	9	28	264.249	0	1	0	69	169	24
11	22	7	289	36	13	33	230.29	0	1	1	90	172	30
14	13	3	155	12	14	34	343.253	0	1	1	95	196	25
28	23	1	225	26	9	28	308.593	0	1	0	69	169	24
28	25	2	225	26	9	28	264.249	0	1	0	69	169	24
11	26	1	289	36	13	33	330.061	0	1	1	90	172	30
3	27	2	179	51	18	38	251.818	0	1	1	89	170	31
13	0	9	369	17	12	31	241.476	1	1	1	70	169	25
1	23	12	235	11	14	37	236.629	0	3	0	88	172	29
3	23	10	179	51	18	38	253.465	0	1	1	89	170	31
21	0	6	268	11	8	33	275.089	1	2	0	79	178	25
3	23	2	179	51	18	38	251.818	0	1	1	89	170	31
3	27	2	179	51	18	38	251.818	0	1	1	89	170	31
1	18	11	235	11	14	37	284.031	0	3	0	88	172	29
28	6	5	225	26	9	28	237.656	0	1	0	69	169	24
13	26	10	369	17	12	31	284.853	0	1	1	70	169	25
22	23	5	179	26	9	30	246.074	0	3	0	56	171	19
33	0	10	248	25	14	47	265.017	1	1	0	86	165	32
22	13	1	179	26	9	30	313.532	0	3	0	56	171	19
10	23	8	361	52	3	28	205.917	0	1	1	80	172	27
34	19	12	118	10	10	37	261.306	0	1	0	83	172	28
23	22	6	378	49	11	36	275.089	0	1	0	65	174	21
13	10	5	369	17	12	31	246.074	0	1	1	70	169	25
20	28	3	260	50	11	36	244.387	0	1	1	65	168	23
5	23	10	235	20	13	43	265.017	0	1	1	106	167	38
23	22	6	378	49	11	36	377.55	0	1	0	65	174	21
28	23	2	225	26	9	28	264.249	0	1	0	69	169	24
36	19	6	118	13	18	50	275.089	0	1	1	98	178	31
34	28	7	118	10	10	37	230.29	0	1	0	83	172	28
28	23	10	225	26	9	28	284.853	0	1	0	69	169	24
28	23	4	225	26	9	28	326.452	0	1	0	69	169	24
17	25	5	179	22	17	40	237.656	0	2	0	63	170	22
22	27	4	179	26	9	30	246.288	0	3	0	56	171	19
20	13	7	260	50	11	36	230.29	0	1	1	65	168	23
11	24	8	289	36	13	33	205.917	0	1	1	90	172	30
34	23	9	118	10	10	37	241.476	0	1	0	83	172	28
3	27	2	179	51	18	38	264.249	0	1	1	89	170	31
36	13	3	118	13	18	50	244.387	0	1	1	98	178	31
17	11	5	179	22	17	40	246.074	0	2	0	63	170	22
34	13	11	118	10	10	37	268.519	0	1	0	83	172	28
3	27	1	179	51	18	38	313.532	0	1	1	89	170	31
26	19	5	300	26	13	43	237.656	0	1	1	77	175	25
28	10	10	225	26	9	28	284.853	0	1	0	69	169	24
11	24	11	289	36	13	33	268.519	0	1	1	90	172	30
28	19	4	225	26	9	28	246.288	0	1	0	69	169	24
3	23	9	179	51	18	38	241.476	0	1	1	89	170	31
3	28	4	179	51	18	38	239.409	0	1	1	89	170	31
3	12	5	179	51	18	38	378.884	0	1	1	89	170	31
11	19	4	289	36	13	33	326.452	0	1	1	90	172	30
20	28	8	260	50	11	36	205.917	0	1	1	65	168	23
11	26	10	289	36	13	33	253.465	0	1	1	90	172	30
15	14	11	291	31	12	40	306.345	0	1	1	73	171	25
26	15	7	300	26	13	43	230.29	0	1	1	77	175	25
20	28	4	260	50	11	36	326.452	0	1	1	65	168	23
24	28	7	246	25	16	41	230.29	0	1	1	67	170	23
10	22	7	361	52	3	28	264.604	0	1	1	80	172	27
3	5	6	179	51	18	38	253.957	0	1	1	89	170	31
36	13	4	118	13	18	50	239.409	0	1	1	98	178	31
1	0	3	235	11	14	37	244.387	1	3	0	88	172	29
22	23	3	179	26	9	30	222.196	0	3	0	56	171	19
22	13	5	179	26	9	30	237.656	0	3	0	56	171	19
3	28	1	179	51	18	38	330.061	0	1	1	89	170	31
14	18	12	155	12	14	34	280.549	0	1	1	95	196	25
14	23	1	155	12	14	34	330.061	0	1	1	95	196	25
20	11	7	260	50	11	36	239.554	0	1	1	65	168	23
6	19	2	189	29	13	33	302.585	0	1	0	69	167	25
31	0	5	388	15	9	50	378.884	1	1	0	76	178	24
21	7	7	268	11	8	33	230.29	0	2	0	79	178	25
36	13	8	118	13	18	50	265.615	0	1	1	98	178	31
36	23	6	118	13	18	50	377.55	0	1	1	98	178	31
27	23	9	184	42	7	27	241.476	0	1	0	58	167	21
18	1	7	330	16	4	28	275.312	0	2	0	84	182	25
3	27	2	179	51	18	38	264.249	0	1	1	89	170	31
1	21	3	235	11	14	37	244.387	0	3	0	88	172	29
20	10	11	260	50	11	36	284.031	0	1	1	65	168	23
3	13	3	179	51	18	38	343.253	0	1	1	89	170	31
18	0	5	330	16	4	28	378.884	1	2	0	84	182	25
15	28	9	291	31	12	40	294.217	0	1	1	73	171	25
11	19	7	289	36	13	33	275.312	0	1	1	90	172	30
22	23	8	179	26	9	30	265.615	0	3	0	56	171	19
17	10	5	179	22	17	40	237.656	0	2	0	63	170	22
3	27	3	179	51	18	38	222.196	0	1	1	89	170	31
17	11	3	179	22	17	40	343.253	0	2	0	63	170	22
28	19	4	225	26	9	28	246.288	0	1	0	69	169	24
22	13	6	179	26	9	30	275.089	0	3	0	56	171	19
34	28	2	118	10	10	37	251.818	0	1	0	83	172	28
34	8	6	118	10	10	37	275.089	0	1	0	83	172	28
14	6	11	155	12	14	34	306.345	0	1	1	95	196	25
33	23	8	248	25	14	47	205.917	0	1	0	86	165	32
25	25	2	235	16	8	32	264.249	0	3	0	75	178	25
6	22	7	189	29	13	33	264.604	0	1	0	69	167	25
14	13	3	155	12	14	34	222.196	0	1	1	95	196	25
23	22	3	378	49	11	36	244.387	0	1	0	65	174	21
30	11	2	157	27	6	29	251.818	0	1	1	75	185	22
34	23	10	118	10	10	37	253.465	0	1	0	83	172	28
29	22	5	225	15	15	41	237.656	0	4	1	94	182	28
3	13	11	179	51	18	38	306.345	0	1	1	89	170	31
9	18	8	228	14	16	58	265.615	0	1	0	65	172	22
3	23	8	179	51	18	38	205.917	0	1	1	89	170	31
36	23	10	118	13	18	50	265.017	0	1	1	98	178	31
36	5	5	118	13	18	50	237.656	0	1	1	98	178	31
14	28	5	155	12	14	34	378.884	0	1	1	95	196	25
24	28	6	246	25	16	41	253.957	0	1	1	67	170	23
15	23	2	291	31	12	40	251.818	0	1	1	73	171	25
24	28	3	246	25	16	41	244.387	0	1	1	67	170	23
11	23	3	289	36	13	33	222.196	0	1	1	90	172	30
15	23	11	291	31	12	40	306.345	0	1	1	73	171	25
22	1	10	179	26	9	30	265.017	0	3	0	56	171	19
18	26	4	330	16	4	28	239.409	0	2	0	84	182	25
20	0	9	260	50	11	36	241.476	1	1	1	65	168	23
8	0	0	231	35	14	39	271.219	0	1	1	100	170	35
24	10	2	246	25	16	41	251.818	0	1	1	67	170	23
34	19	1	118	10	10	37	308.593	0	1	0	83	172	28
15	28	8	291	31	12	40	249.797	0	1	1	73	171	25
15	28	5	291	31	12	40	237.656	0	1	1	73	171	25
33	23	5	248	25	14	47	246.074	0	1	0	86	165	32
3	27	3	179	51	18	38	222.196	0	1	1	89	170	31
22	27	4	179	26	9	30	246.288	0	3	0	56	171	19
2	18	8	235	29	12	48	205.917	0	1	0	88	163	33
7	0	5	279	5	14	39	378.884	1	1	1	68	168	24
36	13	6	118	13	18	50	377.55	0	1	1	98	178	31
11	13	5	289	36	13	33	378.884	0	1	1	90	172	30
36	13	6	118	13	18	50	377.55	0	1	1	98	178	31
25	1	11	235	16	8	32	268.519	0	3	0	75	178	25
17	25	8	179	22	17	40	249.797	0	2	0	63	170	22
34	27	1	118	10	10	37	308.593	0	1	0	83	172	28
11	22	2	289	36	13	33	251.818	0	1	1	90	172	30
25	16	4	235	16	8	32	246.288	0	3	0	75	178	25
28	9	7	225	26	9	28	230.29	0	1	0	69	169	24
22	23	2	179	26	9	30	302.585	0	3	0	56	171	19
14	12	4	155	12	14	34	326.452	0	1	1	95	196	25
25	10	5	235	16	8	32	237.656	0	3	0	75	178	25
36	23	4	118	13	18	50	246.288	0	1	1	98	178	31
3	28	6	179	51	18	38	253.957	0	1	1	89	170	31
27	23	2	184	42	7	27	302.585	0	1	0	58	167	21
36	23	3	118	13	18	50	244.387	0	1	1	98	178	31
28	23	12	225	26	9	28	280.549	0	1	0	69	169	24
22	12	1	179	26	9	30	313.532	0	3	0	56	171	19
6	11	7	189	29	13	33	239.554	0	1	0	69	167	25
24	19	6	246	25	16	41	377.55	0	1	1	67	170	23
25	23	5	235	16	8	32	237.656	0	3	0	75	178	25
22	23	12	179	26	9	30	236.629	0	3	0	56	171	19
11	0	11	289	36	13	33	268.519	1	1	1	90	172	30
