"age"	"job"	"marital"	"education"	"default"	"balance"	"housing"	"loan"	"contact"	"day"	"month"	"duration"	"campaign"	"y"
39	"blue-collar"	"married"	"primary"	"no"	766	"yes"	"no"	"unknown"	3	"jun"	350	3	"no"
39	"blue-collar"	"divorced"	"secondary"	"no"	160	"yes"	"no"	"unknown"	30	"may"	151	2	"no"
45	"management"	"single"	"tertiary"	"no"	2571	"yes"	"no"	"unknown"	29	"may"	54	1	"no"
49	"entrepreneur"	"married"	"primary"	"no"	282	"yes"	"yes"	"cellular"	13	"may"	99	1	"no"
44	"self-employed"	"married"	"secondary"	"no"	-264	"yes"	"no"	"cellular"	29	"jan"	227	1	"no"
45	"blue-collar"	"single"	"unknown"	"no"	816	"no"	"no"	"cellular"	20	"nov"	279	3	"no"
30	"services"	"married"	"primary"	"no"	21	"yes"	"no"	"unknown"	9	"may"	409	3	"no"
37	"services"	"married"	"unknown"	"no"	-224	"no"	"no"	"unknown"	18	"jun"	332	2	"no"
60	"technician"	"married"	"secondary"	"no"	594	"no"	"no"	"cellular"	10	"jul"	190	1	"no"
60	"blue-collar"	"married"	"primary"	"no"	674	"yes"	"no"	"unknown"	20	"may"	273	4	"no"
49	"management"	"married"	"tertiary"	"no"	1887	"no"	"no"	"cellular"	18	"nov"	244	3	"no"
34	"unemployed"	"married"	"tertiary"	"no"	0	"no"	"no"	"cellular"	8	"aug"	201	6	"no"
33	"blue-collar"	"married"	"secondary"	"no"	91	"yes"	"no"	"cellular"	14	"apr"	283	2	"no"
52	"blue-collar"	"divorced"	"secondary"	"no"	497	"no"	"yes"	"cellular"	7	"jul"	277	2	"no"
28	"services"	"single"	"secondary"	"no"	68	"yes"	"no"	"unknown"	27	"may"	8	2	"no"
35	"technician"	"single"	"secondary"	"no"	2496	"yes"	"no"	"cellular"	20	"apr"	9	2	"no"
27	"services"	"single"	"secondary"	"no"	453	"no"	"no"	"cellular"	19	"apr"	142	2	"yes"
32	"blue-collar"	"married"	"secondary"	"no"	0	"yes"	"yes"	"unknown"	28	"may"	219	3	"no"
26	"student"	"single"	"secondary"	"no"	2572	"yes"	"no"	"cellular"	5	"may"	620	1	"no"
28	"technician"	"single"	"secondary"	"no"	36	"no"	"no"	"cellular"	14	"jul"	158	3	"no"
38	"admin."	"single"	"secondary"	"yes"	-61	"no"	"yes"	"cellular"	18	"jul"	102	2	"no"
47	"housemaid"	"divorced"	"primary"	"no"	1405	"no"	"no"	"unknown"	12	"jun"	127	1	"no"
23	"student"	"single"	"secondary"	"no"	43	"no"	"no"	"unknown"	27	"aug"	4	1	"no"
47	"technician"	"married"	"secondary"	"no"	72	"no"	"no"	"unknown"	29	"may"	278	1	"no"
46	"services"	"married"	"secondary"	"no"	417	"no"	"no"	"cellular"	20	"aug"	81	2	"no"
34	"admin."	"divorced"	"secondary"	"no"	0	"yes"	"no"	"cellular"	7	"may"	323	3	"no"
37	"management"	"married"	"tertiary"	"no"	16	"no"	"no"	"cellular"	20	"aug"	280	1	"no"
49	"management"	"married"	"secondary"	"no"	0	"no"	"no"	"cellular"	19	"aug"	141	2	"no"
44	"management"	"divorced"	"tertiary"	"no"	0	"no"	"no"	"cellular"	10	"aug"	71	1	"no"
54	"unknown"	"married"	"secondary"	"no"	1241	"no"	"no"	"unknown"	16	"jun"	97	6	"no"
38	"unemployed"	"married"	"secondary"	"no"	995	"no"	"no"	"unknown"	26	"jul"	84	1	"no"
41	"blue-collar"	"married"	"primary"	"no"	574	"yes"	"no"	"unknown"	14	"may"	449	2	"no"
33	"unemployed"	"single"	"secondary"	"no"	177	"no"	"no"	"unknown"	8	"may"	75	4	"no"
36	"blue-collar"	"married"	"secondary"	"no"	74	"yes"	"no"	"cellular"	8	"may"	168	2	"no"
56	"services"	"married"	"secondary"	"no"	144	"no"	"no"	"cellular"	6	"aug"	184	2	"no"
49	"blue-collar"	"divorced"	"secondary"	"no"	-464	"yes"	"no"	"cellular"	16	"apr"	82	1	"no"
45	"management"	"divorced"	"tertiary"	"no"	347	"no"	"yes"	"cellular"	28	"jan"	53	1	"no"
41	"management"	"single"	"tertiary"	"no"	869	"no"	"no"	"cellular"	29	"jan"	524	2	"no"
37	"blue-collar"	"married"	"secondary"	"no"	311	"yes"	"no"	"unknown"	4	"jun"	135	1	"no"
30	"services"	"single"	"secondary"	"no"	268	"no"	"no"	"unknown"	24	"jul"	86	1	"no"
31	"services"	"married"	"secondary"	"no"	203	"no"	"no"	"cellular"	9	"jul"	359	1	"no"
26	"student"	"single"	"tertiary"	"no"	0	"yes"	"no"	"unknown"	28	"may"	124	1	"no"
42	"services"	"divorced"	"unknown"	"no"	651	"no"	"no"	"unknown"	17	"jun"	61	1	"no"
42	"management"	"married"	"tertiary"	"no"	2772	"yes"	"no"	"cellular"	2	"apr"	244	1	"no"
28	"blue-collar"	"single"	"primary"	"no"	-30	"yes"	"no"	"cellular"	31	"jul"	108	5	"no"
45	"admin."	"married"	"secondary"	"no"	1501	"yes"	"no"	"cellular"	13	"may"	189	3	"no"
34	"management"	"single"	"tertiary"	"no"	647	"yes"	"no"	"cellular"	29	"jan"	392	1	"no"
57	"management"	"married"	"tertiary"	"no"	1741	"no"	"no"	"cellular"	24	"jul"	449	2	"no"
46	"management"	"married"	"secondary"	"no"	430	"yes"	"no"	"cellular"	18	"nov"	91	1	"no"
32	"admin."	"married"	"secondary"	"no"	1604	"no"	"yes"	"cellular"	7	"jul"	625	1	"yes"
28	"admin."	"married"	"secondary"	"no"	0	"yes"	"yes"	"cellular"	26	"may"	89	1	"no"
41	"admin."	"single"	"secondary"	"no"	0	"yes"	"yes"	"cellular"	7	"jul"	166	1	"no"
35	"technician"	"married"	"secondary"	"no"	-288	"yes"	"yes"	"cellular"	30	"apr"	126	3	"no"
31	"blue-collar"	"married"	"primary"	"no"	251	"yes"	"no"	"unknown"	7	"may"	212	2	"no"
27	"services"	"married"	"secondary"	"no"	834	"no"	"no"	"cellular"	29	"jan"	265	2	"no"
32	"technician"	"single"	"secondary"	"no"	1307	"yes"	"no"	"unknown"	28	"may"	267	2	"no"
29	"services"	"married"	"secondary"	"no"	1135	"yes"	"no"	"cellular"	17	"feb"	323	1	"yes"
53	"blue-collar"	"married"	"secondary"	"no"	-71	"yes"	"no"	"cellular"	6	"may"	91	3	"no"
53	"blue-collar"	"married"	"secondary"	"no"	483	"yes"	"no"	"cellular"	3	"feb"	288	3	"no"
41	"admin."	"divorced"	"secondary"	"no"	110	"yes"	"yes"	"cellular"	5	"feb"	76	2	"no"
34	"entrepreneur"	"married"	"secondary"	"no"	3119	"yes"	"no"	"unknown"	21	"may"	250	4	"no"
46	"technician"	"divorced"	"secondary"	"no"	164	"yes"	"no"	"unknown"	9	"may"	229	2	"no"
58	"self-employed"	"married"	"unknown"	"no"	1187	"yes"	"no"	"cellular"	6	"may"	228	2	"no"
34	"services"	"divorced"	"secondary"	"no"	221	"yes"	"no"	"unknown"	19	"may"	343	1	"no"
39	"entrepreneur"	"married"	"tertiary"	"no"	36	"yes"	"no"	"unknown"	26	"may"	488	3	"no"
43	"management"	"divorced"	"secondary"	"no"	311	"no"	"no"	"unknown"	6	"jun"	92	1	"no"
38	"services"	"single"	"primary"	"no"	393	"yes"	"no"	"cellular"	14	"may"	200	1	"no"
55	"services"	"divorced"	"primary"	"no"	96	"yes"	"yes"	"unknown"	5	"may"	311	2	"no"
49	"blue-collar"	"married"	"primary"	"no"	0	"yes"	"no"	"cellular"	2	"feb"	210	1	"no"
32	"blue-collar"	"single"	"secondary"	"no"	3	"yes"	"no"	"unknown"	23	"may"	108	3	"no"
36	"management"	"married"	"secondary"	"no"	565	"no"	"no"	"cellular"	27	"mar"	300	1	"yes"
25	"blue-collar"	"single"	"secondary"	"no"	26	"yes"	"no"	"unknown"	27	"may"	66	2	"no"
42	"technician"	"married"	"secondary"	"no"	534	"no"	"no"	"cellular"	5	"aug"	314	1	"no"
55	"blue-collar"	"married"	"secondary"	"no"	0	"no"	"no"	"unknown"	12	"jun"	614	2	"yes"
45	"admin."	"married"	"secondary"	"no"	805	"yes"	"no"	"unknown"	15	"may"	186	3	"no"
31	"management"	"single"	"tertiary"	"no"	1377	"no"	"no"	"cellular"	5	"aug"	371	2	"no"
55	"admin."	"divorced"	"secondary"	"no"	0	"no"	"no"	"unknown"	17	"jun"	76	2	"no"
22	"self-employed"	"single"	"tertiary"	"no"	780	"no"	"no"	"cellular"	17	"mar"	272	3	"yes"
36	"management"	"married"	"tertiary"	"no"	125	"yes"	"no"	"unknown"	13	"may"	355	1	"no"
32	"blue-collar"	"married"	"primary"	"no"	80	"yes"	"no"	"unknown"	20	"may"	614	2	"no"
51	"management"	"divorced"	"tertiary"	"no"	0	"no"	"no"	"cellular"	13	"aug"	60	2	"no"
55	"management"	"married"	"tertiary"	"no"	33	"yes"	"no"	"cellular"	30	"jul"	246	3	"no"
52	"management"	"divorced"	"tertiary"	"no"	0	"no"	"no"	"cellular"	4	"feb"	74	1	"no"
39	"management"	"single"	"tertiary"	"no"	763	"no"	"no"	"cellular"	17	"aug"	192	1	"no"
23	"blue-collar"	"single"	"secondary"	"no"	-95	"yes"	"no"	"unknown"	14	"may"	167	3	"no"
49	"technician"	"single"	"secondary"	"no"	1202	"yes"	"no"	"unknown"	18	"jun"	122	1	"no"
45	"technician"	"single"	"tertiary"	"no"	1591	"no"	"no"	"cellular"	15	"jul"	392	4	"no"
35	"services"	"married"	"secondary"	"no"	1453	"yes"	"no"	"unknown"	28	"may"	199	1	"no"
49	"admin."	"married"	"primary"	"no"	246	"yes"	"no"	"cellular"	18	"jul"	49	5	"no"
57	"services"	"married"	"secondary"	"no"	4	"no"	"no"	"cellular"	21	"jul"	84	1	"no"
36	"blue-collar"	"single"	"secondary"	"no"	459	"yes"	"yes"	"cellular"	20	"apr"	305	2	"no"
45	"blue-collar"	"married"	"primary"	"no"	101	"yes"	"no"	"unknown"	12	"may"	460	5	"yes"
39	"housemaid"	"married"	"primary"	"no"	-44	"yes"	"no"	"unknown"	27	"may"	228	1	"no"
58	"housemaid"	"married"	"tertiary"	"no"	2858	"no"	"no"	"cellular"	31	"jul"	56	6	"no"
55	"management"	"married"	"primary"	"no"	229	"no"	"yes"	"unknown"	9	"jun"	175	3	"no"
51	"management"	"married"	"tertiary"	"no"	409	"yes"	"no"	"cellular"	28	"jan"	203	1	"no"
31	"management"	"married"	"tertiary"	"no"	827	"no"	"no"	"unknown"	20	"may"	38	1	"no"
42	"services"	"divorced"	"secondary"	"no"	466	"no"	"no"	"cellular"	28	"jan"	48	1	"no"
31	"admin."	"married"	"tertiary"	"no"	323	"no"	"no"	"cellular"	11	"aug"	120	3	"no"
46	"blue-collar"	"married"	"unknown"	"no"	83	"no"	"no"	"unknown"	20	"jun"	38	5	"no"
55	"unemployed"	"married"	"secondary"	"no"	2489	"no"	"no"	"cellular"	30	"jul"	207	1	"no"
35	"management"	"divorced"	"tertiary"	"no"	321	"yes"	"no"	"unknown"	9	"may"	189	1	"no"
35	"technician"	"single"	"tertiary"	"no"	174	"yes"	"no"	"cellular"	5	"may"	105	1	"no"
44	"services"	"divorced"	"secondary"	"no"	396	"yes"	"yes"	"unknown"	7	"may"	396	4	"no"
26	"services"	"married"	"secondary"	"no"	0	"no"	"no"	"cellular"	18	"jul"	409	2	"no"
48	"management"	"married"	"tertiary"	"no"	288	"no"	"no"	"cellular"	18	"aug"	585	3	"no"
37	"services"	"single"	"secondary"	"no"	54	"yes"	"no"	"cellular"	10	"jul"	118	1	"no"
35	"self-employed"	"single"	"tertiary"	"no"	577	"yes"	"no"	"cellular"	21	"jul"	90	1	"no"
44	"technician"	"married"	"secondary"	"no"	682	"no"	"no"	"cellular"	27	"aug"	85	3	"no"
37	"admin."	"married"	"secondary"	"no"	766	"yes"	"no"	"unknown"	14	"may"	123	1	"no"
31	"admin."	"married"	"secondary"	"no"	113	"yes"	"no"	"cellular"	18	"nov"	474	3	"no"
34	"admin."	"married"	"secondary"	"no"	626	"yes"	"no"	"cellular"	14	"may"	142	2	"no"
35	"management"	"married"	"tertiary"	"no"	-640	"yes"	"yes"	"unknown"	5	"jun"	78	6	"no"
28	"blue-collar"	"married"	"secondary"	"no"	2257	"yes"	"no"	"cellular"	15	"may"	352	1	"no"
47	"blue-collar"	"married"	"secondary"	"no"	2775	"no"	"no"	"unknown"	14	"may"	262	1	"no"
48	"technician"	"divorced"	"secondary"	"no"	0	"no"	"yes"	"cellular"	17	"nov"	318	1	"no"
28	"admin."	"single"	"secondary"	"no"	260	"yes"	"no"	"unknown"	7	"may"	374	2	"no"
33	"management"	"single"	"tertiary"	"no"	2302	"yes"	"no"	"cellular"	13	"aug"	115	2	"no"
50	"management"	"married"	"tertiary"	"no"	0	"no"	"no"	"cellular"	21	"aug"	89	2	"no"
36	"management"	"married"	"tertiary"	"no"	0	"yes"	"no"	"cellular"	20	"nov"	139	1	"no"
46	"management"	"married"	"tertiary"	"no"	-267	"no"	"no"	"unknown"	23	"may"	249	3	"no"
45	"services"	"married"	"secondary"	"no"	-158	"yes"	"no"	"unknown"	2	"jun"	91	1	"no"
39	"admin."	"single"	"unknown"	"no"	0	"yes"	"no"	"cellular"	11	"may"	62	1	"no"
36	"admin."	"divorced"	"secondary"	"no"	307	"yes"	"no"	"unknown"	13	"may"	121	2	"no"
32	"technician"	"married"	"secondary"	"no"	1830	"yes"	"no"	"unknown"	21	"may"	293	1	"no"
60	"technician"	"married"	"primary"	"no"	2301	"no"	"no"	"cellular"	28	"apr"	118	2	"no"
39	"blue-collar"	"married"	"primary"	"no"	85	"yes"	"no"	"cellular"	24	"jul"	329	1	"no"
43	"admin."	"married"	"secondary"	"no"	316	"yes"	"no"	"cellular"	17	"apr"	289	1	"no"
49	"blue-collar"	"married"	"secondary"	"no"	611	"yes"	"yes"	"unknown"	14	"may"	179	1	"no"
27	"admin."	"married"	"secondary"	"no"	1475	"yes"	"no"	"unknown"	27	"may"	472	1	"no"
35	"blue-collar"	"married"	"primary"	"no"	2708	"yes"	"no"	"unknown"	30	"may"	178	2	"no"
41	"blue-collar"	"married"	"primary"	"no"	595	"yes"	"no"	"cellular"	11	"may"	54	1	"no"
33	"services"	"married"	"primary"	"no"	0	"yes"	"no"	"cellular"	7	"may"	227	2	"no"
34	"services"	"married"	"secondary"	"no"	190	"yes"	"no"	"cellular"	15	"may"	121	3	"no"
43	"entrepreneur"	"single"	"tertiary"	"no"	0	"yes"	"no"	"unknown"	26	"may"	142	3	"no"
42	"blue-collar"	"married"	"primary"	"no"	1673	"yes"	"no"	"cellular"	17	"apr"	636	3	"yes"
28	"services"	"single"	"secondary"	"no"	2954	"yes"	"no"	"unknown"	28	"may"	149	2	"no"
38	"technician"	"married"	"secondary"	"no"	0	"no"	"no"	"cellular"	28	"aug"	82	4	"no"
44	"housemaid"	"divorced"	"primary"	"no"	629	"no"	"no"	"cellular"	30	"jul"	432	4	"no"
34	"admin."	"married"	"tertiary"	"no"	262	"yes"	"no"	"cellular"	28	"jul"	359	3	"no"
47	"admin."	"divorced"	"secondary"	"no"	0	"no"	"no"	"cellular"	3	"apr"	335	1	"no"
27	"management"	"single"	"tertiary"	"no"	2821	"yes"	"no"	"cellular"	17	"apr"	186	2	"no"
29	"self-employed"	"single"	"tertiary"	"no"	655	"no"	"no"	"cellular"	23	"mar"	273	1	"yes"
37	"blue-collar"	"divorced"	"secondary"	"no"	752	"yes"	"no"	"cellular"	17	"apr"	153	3	"no"
47	"management"	"single"	"tertiary"	"no"	372	"no"	"no"	"cellular"	15	"jun"	257	1	"yes"
40	"blue-collar"	"divorced"	"secondary"	"no"	793	"yes"	"no"	"unknown"	15	"may"	109	1	"no"
37	"services"	"single"	"secondary"	"no"	1045	"no"	"no"	"cellular"	4	"feb"	301	1	"no"
57	"technician"	"married"	"primary"	"no"	0	"no"	"no"	"unknown"	5	"may"	98	1	"no"
51	"blue-collar"	"divorced"	"secondary"	"no"	44	"no"	"no"	"unknown"	21	"may"	137	2	"no"
53	"entrepreneur"	"married"	"tertiary"	"no"	0	"no"	"no"	"cellular"	20	"nov"	520	2	"no"
29	"entrepreneur"	"single"	"secondary"	"no"	158	"yes"	"no"	"cellular"	25	"jul"	241	2	"no"
43	"self-employed"	"married"	"secondary"	"no"	284	"no"	"no"	"cellular"	28	"jan"	256	1	"no"
30	"management"	"single"	"tertiary"	"no"	4	"yes"	"no"	"cellular"	17	"jul"	284	1	"no"
28	"technician"	"single"	"secondary"	"no"	126	"no"	"no"	"cellular"	3	"mar"	229	1	"no"
26	"student"	"single"	"secondary"	"no"	2469	"no"	"no"	"cellular"	2	"feb"	406	1	"no"
35	"self-employed"	"married"	"secondary"	"no"	273	"no"	"no"	"unknown"	20	"jun"	28	4	"no"
34	"admin."	"single"	"secondary"	"no"	663	"yes"	"no"	"cellular"	20	"apr"	111	1	"no"
26	"management"	"single"	"tertiary"	"no"	199	"yes"	"no"	"cellular"	7	"may"	413	1	"no"
42	"technician"	"married"	"tertiary"	"no"	239	"yes"	"yes"	"unknown"	6	"may"	191	3	"no"
42	"blue-collar"	"married"	"primary"	"no"	659	"yes"	"no"	"cellular"	11	"may"	91	1	"no"
32	"services"	"married"	"secondary"	"no"	1464	"yes"	"no"	"unknown"	3	"jun"	193	1	"no"
32	"technician"	"single"	"secondary"	"no"	483	"yes"	"yes"	"cellular"	18	"may"	35	6	"no"
33	"technician"	"married"	"secondary"	"no"	272	"yes"	"no"	"cellular"	18	"jul"	166	2	"no"
52	"unemployed"	"married"	"secondary"	"no"	2142	"no"	"no"	"cellular"	8	"aug"	104	2	"no"
30	"technician"	"single"	"secondary"	"no"	237	"no"	"no"	"cellular"	9	"feb"	112	2	"no"
47	"technician"	"divorced"	"secondary"	"no"	699	"yes"	"no"	"unknown"	8	"may"	182	1	"no"
32	"technician"	"married"	"secondary"	"no"	465	"yes"	"no"	"cellular"	12	"may"	210	2	"no"
56	"retired"	"divorced"	"primary"	"no"	1177	"no"	"no"	"cellular"	30	"jul"	39	2	"no"
47	"services"	"married"	"secondary"	"no"	837	"yes"	"yes"	"unknown"	16	"may"	136	1	"no"
54	"technician"	"married"	"tertiary"	"no"	-800	"yes"	"no"	"unknown"	26	"may"	445	2	"no"
53	"retired"	"married"	"primary"	"no"	3126	"yes"	"no"	"cellular"	22	"jul"	237	1	"no"
53	"management"	"married"	"tertiary"	"no"	1061	"no"	"no"	"cellular"	8	"jun"	139	2	"no"
34	"unemployed"	"single"	"primary"	"no"	451	"no"	"no"	"cellular"	29	"jan"	157	1	"no"
